time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,vx,vy,vz,vrotx,vroty,vrotz
0.0,339.1891,943.4394,774.2408,-88.6253,0.0007,180.0,-0.1592,0.0555,0.2862,0.0008,0.0067,-0.0072,0.0,0.0,0.0,0.0,0.0,0.0
0.012,339.1896,943.441,774.2428,-88.6253,0.0009,-179.9999,-0.206,0.1142,0.2522,0.0001,0.008,-0.0013,0.0417,0.1333,0.1667,0.0,0.0167,0.0083
0.024,339.1896,943.441,774.2428,-88.6253,0.0009,-179.9999,-0.0554,0.1911,0.2096,0.0023,0.002,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0
0.036,339.1896,943.441,774.2428,-88.6253,0.0009,-179.9999,-0.2428,0.0994,-0.0889,-0.0089,0.0102,-0.0016,0.0,0.0,0.0,0.0,0.0,0.0
0.048,339.1896,943.441,774.2428,-88.6253,0.0009,-179.9999,-0.0558,-0.0532,0.2543,0.0009,0.0015,0.0012,0.0,0.0,0.0,0.0,0.0,0.0
0.06,339.1896,943.441,774.2428,-88.6253,0.0009,-179.9999,-0.215,0.1972,-0.0842,-0.0077,0.0097,0.0018,0.0,0.0,0.0,0.0,0.0,0.0
0.072,339.1896,943.441,774.2428,-88.6253,0.0009,-179.9999,-0.0547,0.0781,0.1637,0.004,0.0005,-0.0026,0.0,0.0,0.0,0.0,0.0,0.0
0.084,339.1896,943.441,774.2428,-88.6253,0.0009,-179.9999,-0.253,0.0493,0.1675,0.0009,0.0029,-0.002,0.0,0.0,0.0,0.0,0.0,0.0
0.096,339.1896,943.441,774.2428,-88.6253,0.0009,-179.9999,-0.0159,0.1074,0.0788,-0.0047,0.0017,-0.0032,0.0,0.0,0.0,0.0,0.0,0.0
0.108,339.1896,943.441,774.2428,-88.6253,0.0009,-179.9999,-0.1843,0.2347,-0.0032,-0.0014,0.0077,-0.0007,0.0,0.0,0.0,0.0,0.0,0.0
0.12,339.1896,943.441,774.2428,-88.6253,0.0009,-179.9999,-0.0857,0.1,0.04,-0.0017,0.0059,0.0008,0.0,0.0,0.0,0.0,0.0,0.0
0.132,339.1895,943.4407,774.245,-88.6253,0.001,-179.9999,-0.1655,0.0621,0.3378,-0.0081,0.0084,-0.0022,-0.0083,-0.025,0.1833,0.0,0.0083,0.0
0.144,339.1891,943.4394,774.2408,-88.6253,0.0007,180.0,-0.1939,0.0496,0.036,-0.0081,0.0122,-0.0027,-0.0333,-0.1083,-0.35,0.0,-0.025,-0.0083
0.156,339.1896,943.441,774.2428,-88.6253,0.0009,-179.9999,-0.0495,0.1374,0.2097,0.0077,0.002,0.0007,0.0417,0.1333,0.1667,0.0,0.0167,0.0083
0.168,339.1896,943.441,774.2428,-88.6253,0.0009,-179.9999,-0.237,0.0932,0.0405,-0.006,0.0051,-0.0018,0.0,0.0,0.0,0.0,0.0,0.0
0.18,339.1896,943.441,774.2428,-88.6253,0.0009,-179.9999,-0.14,-0.046,0.3351,-0.0079,0.0007,-0.0055,0.0,0.0,0.0,0.0,0.0,0.0
