time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,vx,vy,vz,vrotx,vroty,vrotz
0.0,339.0799,943.313,774.8261,-90.4658,0.0012,-179.9998,-3.7817,-2.5999,-4.4127,0.3906,-0.3026,0.0373,0.0,0.0,0.0,0.0,0.0,0.0
0.012,339.08,943.3133,774.8238,-90.4658,0.0011,-179.9999,-3.8319,-2.7142,-4.2049,0.4102,-0.3135,0.0336,0.0083,0.025,-0.1917,0.0,-0.0083,0.0083
0.024,339.0799,943.313,774.8261,-90.4658,0.0012,-179.9998,-3.7822,-2.5344,-4.4961,0.3914,-0.296,0.0407,-0.0083,-0.025,0.1917,0.0,0.0083,-0.0083
0.036,339.0791,943.3107,774.8261,-90.4658,0.0009,-180.0,-3.7437,-2.5021,-3.9411,0.3752,-0.3127,0.0313,-0.0667,-0.1917,0.0,0.0,-0.025,0.0167
0.048,339.0792,943.311,774.8238,-90.4658,0.0007,180.0,-3.859,-2.6203,-4.1904,0.3815,-0.3085,0.0388,0.0083,0.025,-0.1917,0.0,-0.0167,-0.0
0.06,339.0792,943.311,774.8238,-90.4658,0.0007,180.0,-3.7208,-2.7792,-4.3358,0.4017,-0.3122,0.0322,0.0,0.0,0.0,0.0,0.0,0.0
0.072,339.0791,943.3107,774.8261,-90.4658,0.0009,-180.0,-3.8531,-2.562,-4.4974,0.3927,-0.3026,0.0375,-0.0083,-0.025,0.1917,0.0,0.0167,-0.0
0.084,339.0792,943.311,774.8238,-90.4658,0.0007,180.0,-3.6552,-2.6738,-4.2963,0.3969,-0.3065,0.0306,0.0083,0.025,-0.1917,0.0,-0.0167,-0.0
0.096,339.0792,943.311,774.8238,-90.4658,0.0007,180.0,-3.712,-2.701,-4.1556,0.4042,-0.3184,0.0371,0.0,0.0,0.0,0.0,0.0,0.0
0.108,339.0792,943.311,774.8238,-90.4658,0.0007,180.0,-3.741,-2.5911,-4.2473,0.4055,-0.3064,0.0355,0.0,0.0,0.0,0.0,0.0,0.0
0.12,339.0792,943.311,774.8238,-90.4658,0.0007,180.0,-3.7495,-2.6132,-4.3683,0.3725,-0.3115,0.0326,0.0,0.0,0.0,0.0,0.0,0.0
0.132,339.0786,943.3093,774.8219,-90.4658,0.0005,179.9999,-3.8248,-2.6302,-4.1583,0.3947,-0.3046,0.0353,-0.05,-0.1417,-0.1583,0.0,-0.0167,-0.0083
0.144,339.0791,943.3107,774.8261,-90.4658,0.0009,-180.0,-3.8298,-2.7347,-4.4503,0.3861,-0.3186,0.0358,0.0417,0.1167,0.35,0.0,0.0333,0.0083
0.156,339.0786,943.3093,774.8219,-90.4658,0.0005,179.9999,-3.7508,-2.5663,-4.4149,0.376,-0.2981,0.0341,-0.0417,-0.1167,-0.35,0.0,-0.0333,-0.0083
0.168,339.0792,943.311,774.8238,-90.4658,0.0007,180.0,-3.7574,-2.5949,-4.0726,0.3876,-0.3097,0.0329,0.05,0.1417,0.1583,0.0,0.0167,0.0083
0.18,339.0791,943.3107,774.8261,-90.4658,0.0009,-180.0,-3.9164,-2.5985,-4.3259,0.4013,-0.3002,0.0395,-0.0083,-0.025,0.1917,0.0,0.0167,-0.0
0.192,339.0785,943.3091,774.8242,-90.4658,0.0007,180.0,-3.6647,-2.6872,-4.2079,0.4087,-0.308,0.0345,-0.05,-0.1333,-0.1583,0.0,-0.0167,-0.0
0.204,339.0763,943.312,774.8238,-90.4657,0.0007,180.0,-3.7766,-2.5093,-4.6364,0.4021,-0.2935,0.0351,-0.1833,0.2417,-0.0333,0.0083,0.0,0.0
0.216,339.0785,943.3091,774.8242,-90.4658,0.0007,180.0,-3.9052,-2.6475,-4.1958,0.4066,-0.3153,0.0378,0.1833,-0.2417,0.0333,-0.0083,0.0,0.0
0.228,339.0786,943.3093,774.8219,-90.4658,0.0005,179.9999,-3.809,-2.5926,-4.326,0.3863,-0.3066,0.0356,0.0083,0.0167,-0.1917,0.0,-0.0167,-0.0083
0.24,339.0786,943.3093,774.8219,-90.4658,0.0005,179.9999,-3.717,-2.5408,-4.1628,0.3822,-0.3086,0.029,0.0,0.0,0.0,0.0,0.0,0.0
0.252,339.0786,943.3093,774.8219,-90.4658,0.0005,179.9999,-3.9556,-2.5363,-4.2778,0.4051,-0.3132,0.0397,0.0,0.0,0.0,0.0,0.0,0.0
0.264,339.0794,943.3116,774.8219,-90.4658,0.0009,-179.9999,-3.6942,-2.7398,-4.2437,0.3798,-0.3069,0.0338,0.0667,0.1917,0.0,0.0,0.0333,0.0167
0.276,339.0786,943.3093,774.8219,-90.4658,0.0005,179.9999,-3.8491,-2.5835,-4.4938,0.3716,-0.3078,0.0343,-0.0667,-0.1917,0.0,0.0,-0.0333,-0.0167
0.288,339.0794,943.3116,774.8219,-90.4658,0.0009,-179.9999,-3.6998,-2.7295,-4.2085,0.3993,-0.3076,0.032,0.0667,0.1917,0.0,0.0,0.0333,0.0167
0.3,339.0794,943.3116,774.8219,-90.4658,0.0009,-179.9999,-3.7905,-2.6817,-4.0767,0.403,-0.3116,0.0327,0.0,0.0,0.0,0.0,0.0,0.0
0.312,339.0788,943.3099,774.8199,-90.4658,0.0007,180.0,-3.7825,-2.7132,-4.3304,0.4101,-0.3141,0.0363,-0.05,-0.1417,-0.1667,0.0,-0.0167,-0.0083
0.324,339.0788,943.3099,774.8199,-90.4658,0.0007,180.0,-3.8183,-2.5762,-4.7073,0.3776,-0.3114,0.0355,0.0,0.0,0.0,0.0,0.0,0.0
0.336,339.0782,943.3083,774.818,-90.4658,0.0006,179.9999,-3.7461,-2.657,-4.7123,0.4004,-0.312,0.0379,-0.05,-0.1333,-0.1583,0.0,-0.0083,-0.0083
0.348,339.0777,943.3069,774.8138,-90.4658,0.0002,179.9998,-3.8333,-2.643,-4.8022,0.4112,-0.3168,0.0346,-0.0417,-0.1167,-0.35,0.0,-0.0333,-0.0083
0.36,339.0772,943.3056,774.8095,-90.4658,-0.0001,179.9997,-3.9972,-2.622,-4.6993,0.3879,-0.3218,0.0388,-0.0417,-0.1083,-0.3583,0.0,-0.025,-0.0083
0.372,339.0762,943.3029,774.8011,-90.4658,-0.0007,179.9995,-3.9525,-2.8229,-4.7574,0.4092,-0.3336,0.0304,-0.0833,-0.225,-0.7,0.0,-0.05,-0.0167
0.384,339.0767,943.304,774.7946,-90.4659,-0.0009,179.9994,-4.2821,-2.8362,-5.2532,0.4172,-0.3371,0.0409,0.0417,0.0917,-0.5417,-0.0083,-0.0167,-0.0083
0.396,339.0763,943.303,774.7881,-90.4659,-0.0014,179.9993,-4.3156,-3.0782,-5.2161,0.4502,-0.3596,0.0382,-0.0333,-0.0833,-0.5417,0.0,-0.0417,-0.0083
0.408,339.0759,943.3019,774.7816,-90.4659,-0.0019,179.9991,-4.5562,-3.1433,-5.8046,0.4739,-0.3698,0.0463,-0.0333,-0.0917,-0.5417,0.0,-0.0417,-0.0167
0.42,339.0757,943.3014,774.7731,-90.4659,-0.0022,179.999,-4.7125,-3.5785,-5.7743,0.5315,-0.3904,0.044,-0.0167,-0.0417,-0.7083,0.0,-0.025,-0.0083
0.432,339.0754,943.3006,774.7643,-90.4659,-0.0028,179.9987,-5.1775,-3.7438,-6.4439,0.5708,-0.4086,0.0545,-0.025,-0.0667,-0.7333,0.0,-0.05,-0.025
0.444,339.0751,943.2995,774.7578,-90.4659,-0.0033,179.9986,-5.4243,-4.1628,-6.3977,0.6035,-0.446,0.0526,-0.025,-0.0917,-0.5417,0.0,-0.0417,-0.0083
0.456,339.0755,943.3007,774.7513,-90.4659,-0.0035,179.9985,-5.9601,-4.1727,-7.365,0.624,-0.4653,0.0588,0.0333,0.1,-0.5417,0.0,-0.0167,-0.0083
0.468,339.0751,943.2997,774.7448,-90.4659,-0.004,179.9983,-6.0164,-4.4728,-7.3668,0.6787,-0.4915,0.0627,-0.0333,-0.0833,-0.5417,0.0,-0.0417,-0.0167
0.48,339.0756,943.3011,774.7361,-90.4659,-0.0043,179.9982,-6.1384,-4.5808,-7.6607,0.6777,-0.4966,0.0646,0.0417,0.1167,-0.725,0.0,-0.025,-0.0083
0.492,339.0767,943.2951,774.7276,-90.4661,-0.0053,179.9979,-6.509,-4.9304,-8.0894,0.7354,-0.5356,0.0633,0.0917,-0.5,-0.7083,-0.0167,-0.0833,-0.025
0.504,339.0785,943.2999,774.7253,-90.4661,-0.0047,179.9981,-6.8522,-5.1491,-8.2939,0.7543,-0.5395,0.0705,0.15,0.4,-0.1917,0.0,0.05,0.0167
