time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,vx,vy,vz,vrotx,vroty,vrotz
0.0,339.0608,943.3392,775.4679,-88.3994,0.0011,-179.9999,-0.1121,-0.0152,-0.0043,-0.0018,0.0028,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
0.012,339.0602,943.3375,775.466,-88.3994,0.0009,-179.9999,-0.1085,0.0895,-0.0042,0.0009,0.0001,-0.0046,-0.05,-0.1417,-0.1583,0.0,-0.0167,0.0
0.024,339.0608,943.3392,775.4679,-88.3994,0.0011,-179.9999,-0.0867,0.0498,-0.0474,-0.0011,0.0008,-0.0046,0.05,0.1417,0.1583,0.0,0.0167,0.0
0.036,339.0608,943.3392,775.4679,-88.3983,0.0011,-179.9999,-0.054,0.0958,-0.0473,0.0069,0.0029,-0.0021,0.0,0.0,0.0,0.0917,0.0,0.0
0.048,339.0608,943.3392,775.4679,-88.3994,0.0011,-179.9999,-0.1766,0.048,0.1663,0.005,0.0001,-0.005,0.0,0.0,0.0,-0.0917,0.0,0.0
0.06,339.0608,943.3392,775.4679,-88.3994,0.0011,-179.9999,-0.0396,-0.0589,-0.0943,-0.001,0.0013,-0.0063,0.0,0.0,0.0,0.0,0.0,0.0
0.072,339.0608,943.3392,775.4679,-88.3994,0.0011,-179.9999,-0.032,0.0805,0.0384,0.0037,0.0009,-0.003,0.0,0.0,0.0,0.0,0.0,0.0
0.084,339.0609,943.3395,775.4657,-88.3994,0.0009,-179.9999,-0.0785,0.0196,0.1242,0.0045,-0.0026,-0.004,0.0083,0.025,-0.1833,0.0,-0.0167,0.0
0.096,339.0608,943.3392,775.4679,-88.3994,0.0011,-179.9999,-0.1439,-0.028,-0.1801,-0.0049,0.0066,-0.0071,-0.0083,-0.025,0.1833,0.0,0.0167,0.0
0.108,339.06,943.3369,775.4679,-88.3994,0.0008,-180.0,-0.0342,0.1017,-0.0459,0.001,-0.0024,-0.0036,-0.0667,-0.1917,0.0,0.0,-0.025,0.0083
0.12,339.0602,943.3375,775.466,-88.3994,0.0009,-179.9999,-0.1782,0.0523,0.1222,0.005,0.0035,-0.005,0.0167,0.05,-0.1583,0.0,0.0083,-0.0083
0.132,339.0608,943.3392,775.4679,-88.3994,0.0011,-179.9999,-0.0863,0.0805,0.1221,-0.0008,0.0024,-0.0057,0.05,0.1417,0.1583,0.0,0.0167,0.0
0.144,339.0602,943.3375,775.466,-88.3994,0.0009,-179.9999,-0.2561,0.1198,-0.0009,0.0,0.0043,-0.0031,-0.05,-0.1417,-0.1583,0.0,-0.0167,0.0
0.156,339.0608,943.3392,775.4679,-88.3994,0.0011,-179.9999,-0.0829,-0.036,0.1582,0.0038,-0.0008,-0.01,0.05,0.1417,0.1583,0.0,0.0167,0.0
0.168,339.0602,943.3375,775.466,-88.3994,0.0009,-179.9999,-0.0871,0.0521,-0.1772,0.0005,0.0034,-0.0045,-0.05,-0.1417,-0.1583,0.0,-0.0167,0.0
0.18,339.0603,943.3378,775.4637,-88.3994,0.0008,-180.0,-0.0811,0.1127,-0.0028,0.0041,0.0048,-0.0014,0.0083,0.025,-0.1917,0.0,-0.0083,0.0083
0.192,339.0602,943.3375,775.466,-88.3994,0.0009,-179.9999,-0.1875,0.0277,-0.2572,-0.0026,0.0062,-0.0012,-0.0083,-0.025,0.1917,0.0,0.0083,-0.0083
0.204,339.0602,943.3375,775.466,-88.3994,0.0009,-179.9999,-0.0137,0.042,-0.2711,0.0047,0.0068,-0.0077,0.0,0.0,0.0,0.0,0.0,0.0
0.216,339.0602,943.3375,775.466,-88.3994,0.0009,-179.9999,-0.1811,0.163,0.2083,0.0018,0.0042,-0.0058,0.0,0.0,0.0,0.0,0.0,0.0
0.228,339.0602,943.3375,775.466,-88.3994,0.0009,-179.9999,0.0133,-0.0335,-0.0104,0.0022,-0.0011,-0.0072,0.0,0.0,0.0,0.0,0.0,0.0
0.24,339.0602,943.3375,775.466,-88.3994,0.0009,-179.9999,-0.0829,0.0833,-0.0522,0.0053,0.0058,-0.0055,0.0,0.0,0.0,0.0,0.0,0.0
0.252,339.0602,943.3375,775.466,-88.3994,0.0009,-179.9999,-0.2041,0.0875,0.0394,0.0025,0.0004,-0.0048,0.0,0.0,0.0,0.0,0.0,0.0
0.264,339.0596,943.3359,775.464,-88.3994,0.0008,-180.0,-0.1113,0.0122,-0.0488,0.0,0.0037,-0.0047,-0.05,-0.1333,-0.1667,0.0,-0.0083,0.0083
0.276,339.0596,943.3359,775.464,-88.3994,0.0008,-180.0,0.0305,0.032,-0.3477,-0.0044,-0.0022,-0.0048,0.0,0.0,0.0,0.0,0.0,0.0
0.288,339.059,943.3342,775.4621,-88.3994,0.0006,179.9999,-0.131,0.0243,0.0379,0.0031,0.0022,-0.004,-0.05,-0.1417,-0.1583,0.0,-0.0167,-0.0083
0.3,339.0593,943.3282,775.4559,-88.3993,-0.0004,180.0,-0.0198,0.0663,-0.3032,-0.0054,0.0025,-0.0033,0.025,-0.5,-0.5167,0.0083,-0.0833,0.0083
0.312,339.0574,943.3296,775.454,-88.3994,0.0,179.9997,-0.0352,-0.0605,0.0724,0.0034,0.0004,-0.009,-0.1583,0.1167,-0.1583,-0.0083,0.0333,-0.025
0.324,339.0562,943.3263,775.4501,-88.3994,-0.0004,179.9996,-0.1858,0.0863,-0.2572,-0.0004,0.0087,-0.0003,-0.1,-0.275,-0.325,0.0,-0.0333,-0.0083
0.336,339.0552,943.3236,775.4442,-88.3994,-0.0005,179.9995,-0.0055,0.0061,0.0318,0.0072,-0.0017,-0.0072,-0.0833,-0.225,-0.4917,0.0,-0.0083,-0.0083
0.348,339.0534,943.3186,775.4384,-88.3994,-0.001,179.9993,-0.2365,0.1313,-0.2122,-0.0043,0.0033,-0.0019,-0.15,-0.4167,-0.4833,0.0,-0.0417,-0.0167
0.36,339.0517,943.3137,775.4325,-88.3994,-0.0015,179.9991,0.035,-0.1298,0.0312,-0.0005,-0.002,-0.0081,-0.1417,-0.4083,-0.4917,0.0,-0.0417,-0.0167
0.372,339.05,943.309,775.4244,-88.3994,-0.0021,179.9989,-0.1331,0.1022,-0.1312,0.0011,0.0004,-0.0036,-0.1417,-0.3917,-0.675,0.0,-0.05,-0.0167
0.384,339.049,943.3063,775.4186,-88.3994,-0.0023,179.9988,-0.1603,0.033,0.2539,-0.0042,-0.0018,-0.0059,-0.0833,-0.225,-0.4833,0.0,-0.0167,-0.0083
0.396,339.0478,943.303,775.4147,-88.3994,-0.0026,179.9987,-0.1592,-0.0169,-0.0425,-0.0018,0.0017,-0.0014,-0.1,-0.275,-0.325,0.0,-0.025,-0.0083
0.408,339.047,943.3006,775.4066,-88.3994,-0.0029,179.9986,0.0634,0.0221,-0.0095,0.0028,-0.0018,-0.0062,-0.0667,-0.2,-0.675,0.0,-0.025,-0.0083
0.42,339.0452,943.2957,775.4007,-88.3994,-0.0034,179.9984,-0.1429,-0.0427,-0.3472,-0.0065,-0.0025,-0.0067,-0.15,-0.4083,-0.4917,0.0,-0.0417,-0.0167
0.432,339.0457,943.2972,775.3945,-88.3995,-0.0031,179.9985,-0.1055,0.036,-0.0032,0.0033,0.0002,-0.003,0.0417,0.125,-0.5167,-0.0083,0.025,0.0083
0.444,339.0464,943.299,775.3887,-88.3984,-0.0026,179.9987,-0.0876,0.0224,-0.0028,-0.0029,0.0,-0.0038,0.0583,0.15,-0.4833,0.0917,0.0417,0.0167
0.456,339.0469,943.3005,775.3825,-88.3985,-0.0023,179.9988,0.0274,-0.012,-0.262,-0.0064,0.0038,-0.0035,0.0417,0.125,-0.5167,-0.0083,0.025,0.0083
0.468,339.0476,943.3023,775.3766,-88.3985,-0.0017,179.999,-0.0055,0.0966,0.0427,0.0039,0.0006,0.0004,0.0583,0.15,-0.4917,0.0,0.05,0.0167
0.48,339.0481,943.3038,775.3705,-88.3985,-0.0015,179.9991,-0.254,0.0651,-0.1282,0.0024,0.0044,-0.0013,0.0417,0.125,-0.5083,0.0,0.0167,0.0083
0.492,339.0494,943.3073,775.3665,-88.3986,-0.0008,179.9994,0.0373,0.013,-0.0076,0.0013,0.0011,-0.0046,0.1083,0.2917,-0.3333,-0.0083,0.0583,0.025
0.504,339.0499,943.3088,775.3604,-88.3986,-0.0005,179.9995,-0.1184,0.0911,-0.2597,-0.0065,0.0028,-0.0043,0.0417,0.125,-0.5083,0.0,0.025,0.0083
0.516,339.0503,943.31,775.3565,-88.3997,-0.0002,179.9996,-0.1044,-0.0463,0.1204,0.0052,0.0003,-0.0058,0.0333,0.1,-0.325,-0.0917,0.025,0.0083
0.528,339.051,943.3118,775.348,-88.3986,-0.0001,179.9997,-0.2157,0.094,-0.0882,-0.0063,0.0056,-0.0046,0.0583,0.15,-0.7083,0.0917,0.0083,0.0083
0.54,339.0523,943.3155,775.3418,-88.3987,0.0005,179.9999,-0.0769,0.1109,0.0825,0.0071,0.0031,-0.0015,0.1083,0.3083,-0.5167,-0.0083,0.05,0.0167
0.552,339.053,943.3173,775.3334,-88.3987,0.0006,179.9999,0.0594,0.0543,-0.0067,-0.0013,0.0007,-0.0045,0.0583,0.15,-0.7,0.0,0.0083,0.0
0.564,339.0527,943.3166,775.3272,-88.3987,0.0004,179.9999,-0.0418,0.0282,-0.387,-0.0028,0.0046,-0.0008,-0.025,-0.0583,-0.5167,0.0,-0.0167,0.0
0.576,339.0534,943.3184,775.3187,-88.3987,0.0005,179.9999,-0.079,0.0187,0.0773,0.006,-0.0018,-0.0065,0.0583,0.15,-0.7083,0.0,0.0083,0.0
