time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,vx,vy,vz,vrotx,vroty,vrotz
0.0,339.3982,943.2532,775.4941,-92.9955,0.001,-179.9999,0.2271,-0.2677,0.308,-0.0075,0.004,0.0062,0.0,0.0,0.0,0.0,0.0,0.0
0.012,339.3954,943.2542,775.4941,-92.9953,0.001,-179.9999,0.2178,-0.3484,0.4731,-0.0145,0.0058,0.0009,-0.2333,0.0833,0.0,0.0167,0.0,0.0
0.024,339.3982,943.2532,775.4941,-92.9955,0.001,-179.9999,0.2618,-0.3169,0.347,-0.0187,0.0078,0.0028,0.2333,-0.0833,0.0,-0.0167,0.0,0.0
0.036,339.3982,943.2532,775.4941,-92.9955,0.001,-179.9999,0.2492,-0.2899,0.4688,-0.0079,0.0004,-0.0022,0.0,0.0,0.0,0.0,0.0,0.0
0.048,339.3982,943.2532,775.4941,-92.9955,0.001,-179.9999,0.1453,-0.3319,0.3922,-0.0142,0.0083,0.0043,0.0,0.0,0.0,0.0,0.0,0.0
0.06,339.3983,943.2535,775.4919,-92.9955,0.0009,-180.0,0.3006,-0.2862,0.6815,-0.0065,0.0005,-0.0025,0.0083,0.025,-0.1833,0.0,-0.0083,0.0083
0.072,339.3982,943.2532,775.4941,-92.9955,0.001,-179.9999,0.1186,-0.2675,0.2691,-0.0178,0.006,0.0062,-0.0083,-0.025,0.1833,0.0,0.0083,-0.0083
0.084,339.3974,943.2509,775.4941,-92.9954,0.0007,180.0,0.2332,-0.2563,0.6414,-0.003,-0.0054,-0.0024,-0.0667,-0.1917,0.0,0.0083,-0.025,-0.0083
0.096,339.3977,943.2515,775.4922,-92.9955,0.0009,-180.0,0.1442,-0.2998,0.394,-0.0153,0.0108,0.0059,0.025,0.05,-0.1583,-0.0083,0.0167,-0.0
0.108,339.3982,943.2532,775.4941,-92.9955,0.001,-179.9999,0.2525,-0.4053,0.561,-0.0093,-0.0062,0.0009,0.0417,0.1417,0.1583,0.0,0.0083,-0.0083
0.12,339.3982,943.2532,775.4941,-92.9955,0.001,-179.9999,0.12,-0.1292,0.1847,-0.0161,0.0075,0.0073,0.0,0.0,0.0,0.0,0.0,0.0
0.132,339.3982,943.2532,775.4941,-92.9955,0.001,-179.9999,0.2761,-0.3268,0.5565,-0.0069,0.0009,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
0.144,339.3982,943.2532,775.4941,-92.9955,0.001,-179.9999,0.1969,-0.3352,0.3016,-0.0098,0.007,0.0019,0.0,0.0,0.0,0.0,0.0,0.0
0.156,339.3982,943.2532,775.4941,-92.9955,0.001,-179.9999,0.3237,-0.3843,0.4311,-0.0091,-0.002,0.0019,0.0,0.0,0.0,0.0,0.0,0.0
0.168,339.3981,943.2529,775.4964,-92.9955,0.0012,-179.9999,0.1995,-0.2577,0.4368,-0.0119,0.0017,0.0044,-0.0083,-0.025,0.1917,0.0,0.0167,0.0
0.18,339.3982,943.2532,775.4941,-92.9955,0.001,-179.9999,0.2551,-0.3702,0.4699,-0.0029,0.0004,0.0001,0.0083,0.025,-0.1917,0.0,-0.0167,0.0
0.192,339.3977,943.2515,775.4922,-92.9955,0.0009,-180.0,0.2675,-0.323,0.4765,-0.0158,0.0027,0.0027,-0.0417,-0.1417,-0.1583,0.0,-0.0083,0.0083
0.204,339.3977,943.2515,775.4922,-92.9955,0.0009,-180.0,0.1985,-0.2888,0.3922,-0.0122,0.0001,0.0028,0.0,0.0,0.0,0.0,0.0,0.0
0.216,339.3977,943.2515,775.4922,-92.9955,0.0009,-180.0,0.2532,-0.3147,0.5628,-0.0082,-0.0014,0.0034,0.0,0.0,0.0,0.0,0.0,0.0
0.228,339.3977,943.2515,775.4922,-92.9955,0.0009,-180.0,0.2179,-0.3452,0.3902,-0.0145,0.0075,0.0035,0.0,0.0,0.0,0.0,0.0,0.0
0.24,339.3977,943.2515,775.4922,-92.9955,0.0009,-180.0,0.3435,-0.3995,0.5086,-0.0109,-0.0014,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
0.252,339.3978,943.2518,775.4899,-92.9955,0.0007,180.0,0.2423,-0.3015,0.3509,-0.0154,0.008,0.0061,0.0083,0.025,-0.1917,0.0,-0.0167,-0.0
0.264,339.3978,943.2518,775.4899,-92.9955,0.0007,180.0,0.2504,-0.3921,0.5183,-0.0091,0.0022,0.0033,0.0,0.0,0.0,0.0,0.0,0.0
0.276,339.3971,943.2499,775.4902,-92.9955,0.0007,180.0,0.1489,-0.3434,0.4383,-0.0143,-0.0001,0.0043,-0.0583,-0.1583,0.025,0.0,0.0,0.0
0.288,339.3971,943.2499,775.4902,-92.9955,0.0007,180.0,0.299,-0.3444,0.4751,-0.0101,-0.0027,0.0019,0.0,0.0,0.0,0.0,0.0,0.0
0.3,339.396,943.2469,775.4841,-92.9955,0.0002,179.9998,0.2202,-0.3255,0.4726,-0.0128,0.0032,0.0001,-0.0917,-0.25,-0.5083,0.0,-0.0417,-0.0167
0.312,339.3948,943.2436,775.4802,-92.9944,-0.0001,179.9997,0.1472,-0.2857,0.3922,-0.0136,0.0032,0.0028,-0.1,-0.275,-0.325,0.0917,-0.025,-0.0083
0.324,339.3936,943.2403,775.4763,-92.9955,-0.0005,179.9996,0.2807,-0.4119,0.4307,-0.0034,-0.0015,0.0027,-0.1,-0.275,-0.325,-0.0917,-0.0333,-0.0083
0.336,339.3932,943.2392,775.4724,-92.9944,-0.0005,179.9996,0.0921,-0.3136,0.3485,-0.0183,0.0047,0.0011,-0.0333,-0.0917,-0.325,0.0917,0.0,0.0
0.348,339.3915,943.2343,775.4665,-92.9955,-0.001,179.9995,0.1356,-0.2783,0.512,-0.0001,0.0009,-0.0016,-0.1417,-0.4083,-0.4917,-0.0917,-0.0417,-0.0083
0.36,339.3903,943.231,775.4626,-92.9955,-0.0013,179.9994,0.1743,-0.2366,0.1393,-0.01,0.0079,0.0081,-0.1,-0.275,-0.325,0.0,-0.025,-0.0083
0.372,339.3894,943.2286,775.4545,-92.9955,-0.0016,179.9993,0.2982,-0.2588,0.5565,-0.0091,0.0005,-0.0006,-0.075,-0.2,-0.675,0.0,-0.025,-0.0083
0.384,339.3882,943.2253,775.4506,-92.9955,-0.0019,179.9992,0.1494,-0.1729,0.4372,-0.0122,0.0047,0.0045,-0.1,-0.275,-0.325,0.0,-0.025,-0.0083
0.396,339.3873,943.2226,775.4448,-92.9955,-0.0021,179.9991,0.2688,-0.4021,0.5172,-0.0138,0.0044,0.0025,-0.075,-0.225,-0.4833,0.0,-0.0167,-0.0083
0.408,339.3861,943.2193,775.4409,-92.9955,-0.0024,179.999,0.0613,-0.2596,0.526,-0.0057,0.0017,0.0067,-0.1,-0.275,-0.325,0.0,-0.025,-0.0083
0.42,339.3868,943.2214,775.4328,-92.9955,-0.002,179.9992,0.2784,-0.2945,0.4325,-0.005,0.0034,0.0044,0.0583,0.175,-0.675,0.0,0.0333,0.0167
0.432,339.3867,943.221,775.4269,-92.9956,-0.0017,179.9992,0.2374,-0.3872,0.3873,-0.018,0.0073,0.001,-0.0083,-0.0333,-0.4917,-0.0083,0.025,0.0
0.444,339.3871,943.2222,775.423,-92.9945,-0.0013,179.9994,0.2295,-0.3009,0.5643,-0.008,-0.0011,0.0043,0.0333,0.1,-0.325,0.0917,0.0333,0.0167
0.456,339.3879,943.2243,775.4149,-92.9956,-0.0009,179.9995,0.2296,-0.2976,0.4814,-0.0079,0.0006,0.0068,0.0667,0.175,-0.675,-0.0917,0.0333,0.0083
0.468,339.3883,943.2255,775.411,-92.9946,-0.0005,179.9996,0.2381,-0.2291,0.3863,-0.0176,0.0046,-0.0012,0.0333,0.1,-0.325,0.0833,0.0333,0.0083
0.48,339.3888,943.227,775.4048,-92.9946,-0.0003,179.9997,0.2522,-0.3459,0.5183,-0.0085,-0.003,0.0018,0.0417,0.125,-0.5167,0.0,0.0167,0.0083
0.492,339.3925,943.2281,775.3966,-92.9948,0.0002,179.9998,0.1468,-0.1657,0.4443,-0.0166,0.0072,0.0094,0.3083,0.0917,-0.6833,-0.0167,0.0417,0.0083
0.504,339.3901,943.2306,775.3905,-92.9947,0.0004,179.9999,0.2806,-0.2722,0.4665,-0.0003,0.0025,-0.0014,-0.2,0.2083,-0.5083,0.0083,0.0167,0.0083
