time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,vx,vy,vz,vrotx,vroty,vrotz
0.0,339.0699,943.3339,775.4162,-94.448,0.0006,180.0,-0.2926,1.4722,24.7282,0.0121,0.9665,-0.0415,0.0,0.0,0.0,0.0,0.0,0.0
0.012,339.0734,943.3345,775.4181,-94.4482,0.0007,180.0,-0.2898,1.549,24.6008,0.0145,0.9639,-0.0412,0.2917,0.05,0.1583,-0.0167,0.0083,0.0
0.024,339.0737,943.3354,775.4139,-94.4482,0.0008,-180.0,-0.2021,1.471,24.3818,0.009,0.9672,-0.0434,0.025,0.075,-0.35,0.0,0.0083,-0.0
0.036,339.0728,943.3329,775.4162,-94.4482,0.0006,180.0,-0.1191,1.3999,24.5951,0.0154,0.9621,-0.0429,-0.075,-0.2083,0.1917,0.0,-0.0167,-0.0
0.048,339.0742,943.3368,775.4181,-94.4482,0.0011,-179.9999,-0.3216,1.5697,24.3488,0.0089,0.9693,-0.0376,0.1167,0.325,0.1583,0.0,0.0417,0.0083
0.06,339.0734,943.3345,775.4181,-94.4472,0.0007,180.0,-0.1672,1.5042,24.5966,0.0153,0.96,-0.0436,-0.0667,-0.1917,0.0,0.0833,-0.0333,-0.0083
0.072,339.0736,943.3351,775.4162,-94.4482,0.0009,-179.9999,-0.3197,1.5117,24.3043,0.0112,0.9677,-0.0384,0.0167,0.05,-0.1583,-0.0833,0.0167,0.0083
0.084,339.0734,943.3345,775.4181,-94.4482,0.0007,180.0,-0.2443,1.5221,24.5553,0.0126,0.9642,-0.0428,-0.0167,-0.05,0.1583,0.0,-0.0167,-0.0083
0.096,339.0742,943.3368,775.4181,-94.4482,0.0011,-179.9999,-0.2223,1.3989,24.5074,0.0126,0.965,-0.0454,0.0667,0.1917,0.0,0.0,0.0333,0.0083
0.108,339.0742,943.3368,775.4181,-94.4482,0.0011,-179.9999,-0.2144,1.5149,24.5582,0.017,0.9664,-0.0387,0.0,0.0,0.0,0.0,0.0,0.0
0.12,339.0742,943.3368,775.4181,-94.4482,0.0011,-179.9999,-0.2188,1.5903,24.4293,0.0135,0.9639,-0.0408,0.0,0.0,0.0,0.0,0.0,0.0
0.132,339.0742,943.3368,775.4181,-94.4482,0.0011,-179.9999,-0.2284,1.4319,24.4676,0.007,0.9684,-0.0436,0.0,0.0,0.0,0.0,0.0,0.0
0.144,339.0742,943.3368,775.4181,-94.4482,0.0011,-179.9999,-0.2136,1.5664,24.5611,0.0161,0.9638,-0.0377,0.0,0.0,0.0,0.0,0.0,0.0
0.156,339.0742,943.3368,775.4181,-94.4482,0.0011,-179.9999,-0.1709,1.4262,24.5956,0.0128,0.9627,-0.0437,0.0,0.0,0.0,0.0,0.0,0.0
0.168,339.0728,943.3329,775.4162,-94.4482,0.0006,180.0,-0.3224,1.4412,24.4724,0.0103,0.9745,-0.0389,-0.1167,-0.325,-0.1583,0.0,-0.0417,-0.0083
0.18,339.0736,943.3351,775.4162,-94.4482,0.0009,-179.9999,-0.2422,1.5511,24.5141,0.0145,0.965,-0.0411,0.0667,0.1833,0.0,0.0,0.025,0.0083
0.192,339.0737,943.3354,775.4139,-94.4482,0.0008,-180.0,-0.2891,1.4365,24.7269,0.0146,0.9615,-0.0431,0.0083,0.025,-0.1917,0.0,-0.0083,0.0083
0.204,339.0736,943.3351,775.4162,-94.4482,0.0009,-179.9999,-0.3472,1.5512,24.1774,0.0088,0.968,-0.0382,-0.0083,-0.025,0.1917,0.0,0.0083,-0.0083
0.216,339.0728,943.3329,775.4162,-94.4482,0.0006,180.0,-0.2401,1.467,24.6426,0.0149,0.9626,-0.0413,-0.0667,-0.1833,0.0,0.0,-0.025,-0.0083
0.228,339.0728,943.3329,775.4162,-94.4482,0.0006,180.0,-0.3263,1.4877,24.4743,0.0049,0.9694,-0.0403,0.0,0.0,0.0,0.0,0.0,0.0
0.24,339.0728,943.3329,775.4162,-94.4482,0.0006,180.0,-0.2579,1.4571,24.5603,0.0208,0.9645,-0.0371,0.0,0.0,0.0,0.0,0.0,0.0
