time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,vx,vy,vz,vrotx,vroty,vrotz
0.0,339.156,943.4007,775.1253,-89.9994,0.0009,-179.9999,0.163,0.0321,0.1475,0.0044,-0.0022,-0.0029,0.0,0.0,0.0,0.0,0.0,0.0
0.012,339.156,943.4007,775.1253,-89.9994,0.0009,-179.9999,-0.0681,0.0001,-0.0484,-0.0089,0.0047,0.0071,0.0,0.0,0.0,0.0,0.0,0.0
0.024,339.156,943.4007,775.1253,-89.9994,0.0009,-179.9999,0.1136,0.0137,0.1504,0.0043,0.0034,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
0.036,339.156,943.4007,775.1253,-89.9994,0.0009,-179.9999,0.055,-0.0087,-0.1864,-0.0033,0.0084,0.004,0.0,0.0,0.0,0.0,0.0,0.0
0.048,339.1531,943.4017,775.1253,-89.9992,0.0009,-179.9999,0.1119,-0.0448,0.1504,0.0021,0.001,-0.0006,-0.2417,0.0833,0.0,0.0167,0.0,0.0
0.06,339.156,943.4007,775.1253,-89.9994,0.0009,-179.9999,0.0465,-0.0112,-0.0194,-0.0108,0.0076,-0.0012,0.2417,-0.0833,0.0,-0.0167,0.0,0.0
0.072,339.1559,943.4004,775.1276,-89.9994,0.0011,-179.9999,0.1875,-0.0309,0.1122,0.0022,-0.0016,0.0029,-0.0083,-0.025,0.1917,0.0,0.0167,0.0
0.084,339.156,943.4007,775.1253,-89.9994,0.0009,-179.9999,-0.0934,-0.0057,-0.1385,-0.006,0.0117,0.0063,0.0083,0.025,-0.1917,0.0,-0.0167,0.0
0.096,339.1559,943.4004,775.1276,-89.9994,0.0011,-179.9999,0.0868,-0.0263,0.1892,0.0038,0.0055,-0.0024,-0.0083,-0.025,0.1917,0.0,0.0167,0.0
0.108,339.1552,943.3984,775.1253,-89.9994,0.0006,179.9999,-0.0701,0.0607,-0.0523,-0.0082,0.0097,0.0055,-0.0583,-0.1667,-0.1917,0.0,-0.0417,-0.0167
0.12,339.1554,943.399,775.1233,-89.9994,0.0008,-180.0,0.0831,-0.0273,0.0617,0.0008,0.0055,-0.0022,0.0167,0.05,-0.1667,0.0,0.0167,0.0083
0.132,339.1559,943.4004,775.1276,-89.9994,0.0011,-179.9999,0.0105,0.0338,-0.0134,-0.0027,0.0004,0.0022,0.0417,0.1167,0.3583,0.0,0.025,-0.0083
0.144,339.1559,943.4004,775.1276,-89.9994,0.0011,-179.9999,0.1011,0.0127,-0.1462,-0.0061,0.0044,0.0008,0.0,0.0,0.0,0.0,0.0,0.0
0.156,339.1559,943.4004,775.1276,-89.9994,0.0011,-179.9999,0.0151,-0.0148,0.1959,0.0026,0.0037,0.001,0.0,0.0,0.0,0.0,0.0,0.0
0.168,339.1553,943.3987,775.1256,-89.9994,0.0009,-179.9999,0.0029,0.0204,-0.1438,-0.0059,0.0106,0.0031,-0.05,-0.1417,-0.1667,0.0,-0.0167,0.0
0.18,339.156,943.4007,775.1253,-89.9994,0.0009,-179.9999,0.1316,-0.027,-0.0202,-0.0007,0.0041,0.0005,0.0583,0.1667,-0.025,0.0,0.0,0.0
0.192,339.156,943.4007,775.1253,-89.9994,0.0009,-179.9999,-0.0961,0.0993,0.1603,-0.0108,0.0082,0.0027,0.0,0.0,0.0,0.0,0.0,0.0
