time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,vx,vy,vz,vrotx,vroty,vrotz
0.0,339.4527,943.0852,775.4623,-88.4635,0.0011,-179.9999,0.1631,-0.2449,0.6655,-0.0101,-0.0122,0.011,0.0,0.0,0.0,0.0,0.0,0.0
0.012,339.4527,943.0852,775.4623,-88.4635,0.0011,-179.9999,0.0851,-0.1666,0.0265,-0.0089,-0.0012,0.0159,0.0,0.0,0.0,0.0,0.0,0.0
0.024,339.4527,943.0852,775.4623,-88.4635,0.0011,-179.9999,0.265,-0.2106,0.5692,-0.0009,-0.0067,0.0078,0.0,0.0,0.0,0.0,0.0,0.0
0.036,339.4527,943.0852,775.4623,-88.4635,0.0011,-179.9999,0.0812,-0.1966,0.3268,-0.0153,-0.0045,0.0139,0.0,0.0,0.0,0.0,0.0,0.0
0.048,339.4527,943.0852,775.4623,-88.4635,0.0011,-179.9999,0.2838,-0.1396,0.6122,-0.0061,-0.0054,0.007,0.0,0.0,0.0,0.0,0.0,0.0
0.06,339.4527,943.0852,775.4623,-88.4635,0.0011,-179.9999,0.0645,-0.1516,0.4523,-0.0073,-0.0019,0.0136,0.0,0.0,0.0,0.0,0.0,0.0
0.072,339.4521,943.0835,775.4604,-88.4635,0.0009,-179.9999,0.3132,-0.2361,0.7508,-0.0072,-0.0106,0.0134,-0.05,-0.1417,-0.1583,0.0,-0.0167,0.0
0.084,339.4527,943.0852,775.4623,-88.4635,0.0011,-179.9999,0.1338,-0.1955,0.2818,-0.0109,-0.0043,0.0139,0.05,0.1417,0.1583,0.0,0.0167,0.0
0.096,339.4527,943.0852,775.4623,-88.4635,0.0011,-179.9999,0.2028,-0.2715,0.6218,-0.0179,-0.0118,0.0094,0.0,0.0,0.0,0.0,0.0,0.0
0.108,339.4527,943.0852,775.4623,-88.4635,0.0011,-179.9999,0.1412,-0.2264,0.497,-0.0068,-0.0086,0.0145,0.0,0.0,0.0,0.0,0.0,0.0
0.12,339.4527,943.0852,775.4623,-88.4635,0.0011,-179.9999,0.2623,-0.1661,0.4854,-0.0048,-0.0126,0.0064,0.0,0.0,0.0,0.0,0.0,0.0
