time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,vx,vy,vz,vrotx,vroty,vrotz
0.0,339.069,943.2036,775.1196,-91.6751,0.0011,-179.9999,-2.4274,-1.4047,-2.648,0.2357,-0.2063,0.0059,0.0,0.0,0.0,0.0,0.0,0.0
0.012,339.069,943.2036,775.1196,-91.6751,0.0011,-179.9999,-2.5221,-1.2609,-2.8189,0.2211,-0.1895,0.006,0.0,0.0,0.0,0.0,0.0,0.0
0.024,339.069,943.2036,775.1196,-91.6751,0.0011,-179.9999,-2.3926,-1.317,-2.903,0.2248,-0.2018,0.0063,0.0,0.0,0.0,0.0,0.0,0.0
0.036,339.069,943.2036,775.1196,-91.6751,0.0011,-179.9999,-2.3894,-1.2598,-3.0232,0.2256,-0.2019,0.0124,0.0,0.0,0.0,0.0,0.0,0.0
0.048,339.0691,943.2039,775.1174,-91.6751,0.0009,-179.9999,-2.4947,-1.2721,-2.7752,0.2195,-0.2057,0.0021,0.0083,0.025,-0.1833,0.0,-0.0167,0.0
0.06,339.0684,943.2019,775.1177,-91.6751,0.0009,-179.9999,-2.492,-1.3437,-2.8623,0.2246,-0.1989,0.0045,-0.0583,-0.1667,0.025,0.0,0.0,0.0
0.072,339.069,943.2036,775.1196,-91.6751,0.0011,-179.9999,-2.5026,-1.3082,-2.8214,0.237,-0.2021,0.0044,0.05,0.1417,0.1583,0.0,0.0167,0.0
0.084,339.069,943.2036,775.1196,-91.6751,0.0011,-179.9999,-2.4928,-1.3479,-3.1142,0.2231,-0.2013,0.0074,0.0,0.0,0.0,0.0,0.0,0.0
0.096,339.0696,943.2052,775.1216,-91.6751,0.0012,-179.9998,-2.3977,-1.3705,-3.0803,0.2242,-0.1982,0.0031,0.05,0.1333,0.1667,0.0,0.0083,-0.0083
0.108,339.069,943.2036,775.1196,-91.6751,0.0011,-179.9999,-2.5779,-1.2574,-2.5179,0.2332,-0.1972,0.0064,-0.05,-0.1333,-0.1667,0.0,-0.0083,0.0083
0.12,339.0682,943.2013,775.1196,-91.6751,0.0007,180.0,-2.6223,-1.2031,-3.109,0.2147,-0.2026,0.0067,-0.0667,-0.1917,0.0,0.0,-0.0333,-0.0083
