time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,vx,vy,vz,vrotx,vroty,vrotz
0.0,341.1735,943.5232,775.0069,-89.9998,0.001,-179.9999,1.8172,6.4662,-7.8017,-1.0654,-0.2986,-0.1379,0.0,0.0,0.0,0.0,0.0,0.0
0.012,341.1758,943.5205,775.005,-90.0,0.0009,-180.0,1.6491,6.4525,-8.3539,-1.0592,-0.2931,-0.1332,0.1917,-0.225,-0.1583,-0.0167,-0.0083,0.0083
0.024,341.1765,943.5224,775.0046,-90.0,0.0009,-180.0,1.8759,6.3394,-7.975,-1.0535,-0.2931,-0.1338,0.0583,0.1583,-0.0333,0.0,0.0,0.0
0.036,341.1735,943.5232,775.0069,-89.9998,0.001,-179.9999,1.7741,6.549,-8.0047,-1.0627,-0.299,-0.1301,-0.25,0.0667,0.1917,0.0167,0.0083,-0.0083
0.048,341.1764,943.5221,775.0069,-90.001,0.001,-179.9999,1.6756,6.4614,-7.5382,-1.0652,-0.3021,-0.1358,0.2417,-0.0917,0.0,-0.1,0.0,0.0
0.06,341.1764,943.5221,775.0069,-90.0,0.001,-179.9999,1.7218,6.4973,-7.9248,-1.0633,-0.295,-0.1337,0.0,0.0,0.0,0.0833,0.0,0.0
0.072,341.1764,943.5221,775.0069,-90.0,0.001,-179.9999,1.8221,6.4075,-8.0191,-1.0586,-0.2993,-0.1385,0.0,0.0,0.0,0.0,0.0,0.0
0.084,341.1764,943.5221,775.0069,-90.0,0.001,-179.9999,1.7436,6.5143,-8.0527,-1.0646,-0.2927,-0.1326,0.0,0.0,0.0,0.0,0.0,0.0
0.096,341.1758,943.5205,775.005,-90.0,0.0009,-180.0,1.8547,6.424,-7.7632,-1.0525,-0.2998,-0.138,-0.05,-0.1333,-0.1583,0.0,-0.0083,0.0083
0.108,341.1735,943.5232,775.0069,-89.9998,0.001,-179.9999,1.6753,6.5203,-7.7528,-1.063,-0.2979,-0.1347,-0.1917,0.225,0.1583,0.0167,0.0083,-0.0083
0.12,341.1764,943.5221,775.0069,-90.0,0.001,-179.9999,1.7068,6.4846,-7.7532,-1.056,-0.2957,-0.1323,0.2417,-0.0917,0.0,-0.0167,0.0,0.0
0.132,341.1764,943.5221,775.0069,-90.0,0.001,-179.9999,1.697,6.4826,-8.0163,-1.0605,-0.293,-0.1369,0.0,0.0,0.0,0.0,0.0,0.0
0.144,341.1735,943.5232,775.0069,-89.9998,0.001,-179.9999,1.7838,6.4645,-8.0969,-1.0712,-0.2898,-0.1335,-0.2417,0.0917,0.0,0.0167,0.0,0.0
0.156,341.1763,943.5218,775.0092,-90.0,0.0012,-179.9998,1.7686,6.526,-7.797,-1.066,-0.2956,-0.1346,0.2333,-0.1167,0.1917,-0.0167,0.0167,-0.0083
0.168,341.1764,943.5221,775.0069,-90.0,0.001,-179.9999,1.7452,6.367,-7.6738,-1.065,-0.3002,-0.1391,0.0083,0.025,-0.1917,0.0,-0.0167,0.0083
0.18,341.1758,943.5205,775.005,-90.0,0.0009,-180.0,1.7296,6.3887,-7.8456,-1.0542,-0.294,-0.1356,-0.05,-0.1333,-0.1583,0.0,-0.0083,0.0083
0.192,341.1758,943.5205,775.005,-90.0,0.0009,-180.0,1.7685,6.5615,-8.0934,-1.0641,-0.2897,-0.1301,0.0,0.0,0.0,0.0,0.0,0.0
0.204,341.1758,943.5205,775.005,-90.0,0.0009,-180.0,1.8555,6.4247,-7.8068,-1.051,-0.2989,-0.138,0.0,0.0,0.0,0.0,0.0,0.0
0.216,341.175,943.5182,775.005,-89.9999,0.0005,179.9999,1.6464,6.3795,-8.1374,-1.0631,-0.2897,-0.1312,-0.0667,-0.1917,0.0,0.0083,-0.0333,-0.0083
0.228,341.1729,943.5215,775.005,-89.9998,0.0009,-180.0,1.7118,6.3909,-7.5021,-1.0527,-0.3032,-0.1377,-0.175,0.275,0.0,0.0083,0.0333,0.0083
0.24,341.1729,943.5215,775.005,-89.9998,0.0009,-180.0,1.613,6.4979,-7.8731,-1.0765,-0.2947,-0.1313,0.0,0.0,0.0,0.0,0.0,0.0
0.252,341.1758,943.5205,775.005,-90.0,0.0009,-180.0,1.8964,6.3936,-7.8878,-1.0604,-0.3027,-0.1369,0.2417,-0.0833,0.0,-0.0167,0.0,0.0
0.264,341.1752,943.5188,775.003,-90.0,0.0007,180.0,1.6383,6.3209,-8.0105,-1.0713,-0.2921,-0.1347,-0.05,-0.1417,-0.1667,0.0,-0.0167,-0.0
0.276,341.1723,943.5199,775.003,-89.9998,0.0007,180.0,1.7182,6.4336,-7.9267,-1.0671,-0.2999,-0.137,-0.2417,0.0917,0.0,0.0167,0.0,0.0
0.288,341.1711,943.5166,774.9991,-89.9998,0.0004,179.9999,1.5911,6.4516,-8.08,-1.056,-0.3076,-0.1251,-0.1,-0.275,-0.325,0.0,-0.025,-0.0083
0.3,341.1705,943.5149,774.9972,-89.9998,0.0002,179.9998,1.5675,6.3087,-8.2595,-1.0532,-0.3162,-0.1324,-0.05,-0.1417,-0.1583,0.0,-0.0167,-0.0083
0.312,341.1687,943.51,774.9913,-89.9998,-0.0003,179.9996,1.5618,6.4333,-8.3454,-1.0592,-0.3222,-0.1361,-0.15,-0.4083,-0.4917,0.0,-0.0417,-0.0167
