time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,vx,vy,vz,vrotx,vroty,vrotz
0.0,338.9742,943.2429,775.0468,-94.7943,0.0009,-180.0,-3.0239,-2.6998,-3.3417,0.374,-0.2746,0.0539,0.0,0.0,0.0,0.0,0.0,0.0
0.012,338.9742,943.2429,775.0468,-94.7943,0.0009,-180.0,-3.0556,-2.6063,-3.5895,0.3692,-0.2592,0.0632,0.0,0.0,0.0,0.0,0.0,0.0
0.024,338.9742,943.2429,775.0468,-94.7943,0.0009,-180.0,-3.0894,-2.6727,-3.3383,0.3819,-0.2663,0.0595,0.0,0.0,0.0,0.0,0.0,0.0
0.036,338.9742,943.2429,775.0468,-94.7943,0.0009,-180.0,-2.9868,-2.6997,-3.1585,0.377,-0.2885,0.0597,0.0,0.0,0.0,0.0,0.0,0.0
0.048,338.9742,943.2429,775.0468,-94.7943,0.0009,-180.0,-2.9122,-2.577,-3.0407,0.3647,-0.262,0.0568,0.0,0.0,0.0,0.0,0.0,0.0
0.06,338.9741,943.2426,775.049,-94.7943,0.0011,-179.9999,-3.0522,-2.7256,-3.2912,0.3931,-0.2599,0.0675,-0.0083,-0.025,0.1833,0.0,0.0167,-0.0083
0.072,338.9742,943.2429,775.0468,-94.7943,0.0009,-180.0,-3.1778,-2.7374,-3.3734,0.3828,-0.2894,0.0582,0.0083,0.025,-0.1833,0.0,-0.0167,0.0083
0.084,338.9742,943.2429,775.0468,-94.7943,0.0009,-180.0,-2.9378,-2.6222,-3.2112,0.3643,-0.2632,0.057,0.0,0.0,0.0,0.0,0.0,0.0
0.096,338.9684,943.245,775.0468,-94.794,0.0009,-180.0,-3.2891,-2.6051,-3.5404,0.3741,-0.2724,0.0624,-0.4833,0.175,0.0,0.025,0.0,0.0
0.108,338.9741,943.2426,775.049,-94.7943,0.0011,-179.9999,-2.9417,-2.7061,-3.4651,0.3813,-0.2729,0.0607,0.475,-0.2,0.1833,-0.025,0.0167,-0.0083
0.12,338.9735,943.241,775.0471,-94.7943,0.0009,-180.0,-2.97,-2.564,-3.4637,0.3562,-0.2679,0.0568,-0.05,-0.1333,-0.1583,0.0,-0.0167,0.0083
0.132,338.9741,943.2426,775.049,-94.7943,0.0011,-179.9999,-3.0553,-2.5813,-3.599,0.3695,-0.2743,0.0519,0.05,0.1333,0.1583,0.0,0.0167,-0.0083
0.144,338.9735,943.241,775.0471,-94.7943,0.0009,-180.0,-3.012,-2.6747,-3.5863,0.3848,-0.2621,0.069,-0.05,-0.1333,-0.1583,0.0,-0.0167,0.0083
0.156,338.9735,943.241,775.0471,-94.7943,0.0009,-180.0,-3.0067,-2.7207,-2.905,0.3797,-0.2933,0.0561,0.0,0.0,0.0,0.0,0.0,0.0
0.168,338.9734,943.2407,775.0468,-94.7943,0.0005,179.9999,-3.0118,-2.5851,-3.3437,0.3902,-0.2547,0.0611,-0.0083,-0.025,-0.025,0.0,-0.0333,-0.0083
0.18,338.9733,943.2404,775.049,-94.7943,0.0007,180.0,-2.9493,-2.7029,-3.4311,0.4021,-0.261,0.062,-0.0083,-0.025,0.1833,0.0,0.0167,0.0083
0.192,338.9735,943.241,775.0471,-94.7943,0.0009,-180.0,-3.3443,-2.6248,-3.2398,0.3874,-0.2776,0.0636,0.0167,0.05,-0.1583,0.0,0.0167,-0.0
0.204,338.9735,943.241,775.0471,-94.7943,0.0009,-180.0,-2.9203,-2.5466,-3.4187,0.3578,-0.2593,0.0616,0.0,0.0,0.0,0.0,0.0,0.0
