time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,vx,vy,vz,vrotx,vroty,vrotz
0.0,339.1457,943.2844,775.4394,-89.8249,0.0008,-180.0,0.0881,-0.2191,0.2497,-0.0032,-0.0009,-0.0011,0.0,0.0,0.0,0.0,0.0,0.0
0.012,339.1463,943.286,775.4413,-89.8249,0.001,-179.9999,0.0211,-0.1841,-0.0878,-0.0175,0.0065,0.001,0.05,0.1333,0.1583,0.0,0.0167,-0.0083
0.024,339.1456,943.2841,775.439,-89.8249,0.0005,179.9999,0.0839,-0.3006,0.2501,-0.0071,-0.0008,-0.0012,-0.0583,-0.1583,-0.1917,0.0,-0.0417,-0.0167
0.036,339.1455,943.2838,775.4413,-89.8249,0.0006,180.0,-0.0948,-0.0882,-0.0824,-0.0131,0.0077,0.0043,-0.0083,-0.025,0.1917,0.0,0.0083,0.0083
0.048,339.1463,943.286,775.4413,-89.8249,0.001,-179.9999,0.0376,-0.2503,0.3867,-0.0094,-0.0054,0.002,0.0667,0.1833,0.0,0.0,0.0333,0.0083
0.06,339.1463,943.286,775.4413,-89.8249,0.001,-179.9999,0.0006,-0.1199,-0.1313,-0.0137,0.005,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
0.072,339.1456,943.2841,775.439,-89.8249,0.0005,179.9999,0.1068,-0.1791,0.0326,-0.0057,0.0005,-0.0033,-0.0583,-0.1583,-0.1917,0.0,-0.0417,-0.0167
0.084,339.1455,943.2838,775.4413,-89.8249,0.0006,180.0,0.077,-0.2693,-0.09,-0.0111,0.0035,0.0009,-0.0083,-0.025,0.1917,0.0,0.0083,0.0083
0.096,339.1455,943.2838,775.4413,-89.8249,0.0006,180.0,0.1069,-0.2324,0.0346,-0.0063,0.0006,-0.0017,0.0,0.0,0.0,0.0,0.0,0.0
0.108,339.1457,943.2844,775.4394,-89.8249,0.0008,-180.0,-0.0465,-0.1215,-0.1696,-0.0136,0.0039,0.0028,0.0167,0.05,-0.1583,0.0,0.0167,-0.0
0.12,339.1485,943.283,775.439,-89.8251,0.0005,179.9999,0.101,-0.3154,0.1222,-0.0133,-0.001,-0.0018,0.2333,-0.1167,-0.0333,-0.0167,-0.025,-0.0083
0.132,339.1455,943.2838,775.4413,-89.8249,0.0006,180.0,-0.0723,-0.1571,-0.0853,-0.014,0.0076,0.0025,-0.25,0.0667,0.1917,0.0167,0.0083,0.0083
0.144,339.1455,943.2838,775.4413,-89.8249,0.0006,180.0,0.0584,-0.2861,0.1184,-0.0054,0.002,-0.0027,0.0,0.0,0.0,0.0,0.0,0.0
0.156,339.1463,943.286,775.4413,-89.8249,0.001,-179.9999,-0.0173,-0.1591,0.0422,-0.0097,0.0044,0.0024,0.0667,0.1833,0.0,0.0,0.0333,0.0083
0.168,339.1463,943.286,775.4413,-89.8249,0.001,-179.9999,0.2363,-0.216,0.1611,-0.0003,-0.001,-0.0009,0.0,0.0,0.0,0.0,0.0,0.0
0.18,339.1455,943.2838,775.4413,-89.8249,0.0006,180.0,0.0071,-0.1155,0.0029,-0.0106,0.0049,0.0051,-0.0667,-0.1833,0.0,0.0,-0.0333,-0.0083
0.192,339.1455,943.2838,775.4413,-89.8249,0.0006,180.0,0.1052,-0.2517,0.1149,-0.0051,0.0065,-0.0036,0.0,0.0,0.0,0.0,0.0,0.0
0.204,339.1457,943.2844,775.4394,-89.8249,0.0008,-180.0,-0.0116,-0.1119,0.1696,-0.0061,-0.0008,0.0007,0.0167,0.05,-0.1583,0.0,0.0167,-0.0
0.216,339.1449,943.2821,775.4394,-89.8249,0.0005,179.9999,0.1253,-0.2948,0.3793,-0.0146,0.0011,-0.0014,-0.0667,-0.1917,0.0,0.0,-0.025,-0.0083
0.228,339.1457,943.2844,775.4394,-89.8249,0.0008,-180.0,0.0773,-0.269,-0.0086,-0.0097,0.0043,-0.0017,0.0667,0.1917,0.0,0.0,0.025,0.0083
0.24,339.1458,943.2847,775.4371,-89.8249,0.0006,180.0,-0.0391,-0.1164,0.2088,-0.0062,0.0062,-0.0003,0.0083,0.025,-0.1917,0.0,-0.0167,-0.0
