time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,vx,vy,vz,vrotx,vroty,vrotz
0.0,339.1071,943.2917,774.6451,-90.0002,0.001,-179.9999,-1.8064,-1.5252,-2.8905,0.2403,-0.127,0.0197,0.0,0.0,0.0,0.0,0.0,0.0
0.012,339.1063,943.2895,774.6451,-90.0002,0.0007,180.0,-1.6422,-1.5881,-3.0194,0.2349,-0.1263,0.0207,-0.0667,-0.1833,0.0,0.0,-0.025,-0.0083
0.024,339.107,943.2914,774.6473,-90.0002,0.0012,-179.9998,-1.6136,-1.6335,-3.0673,0.2402,-0.1282,0.0183,0.0583,0.1583,0.1833,0.0,0.0417,0.0167
0.036,339.1042,943.2928,774.6451,-90.0,0.001,-179.9999,-1.832,-1.4769,-3.3123,0.2172,-0.1285,0.0188,-0.2333,0.1167,-0.1833,0.0167,-0.0167,0.0083
0.048,339.1071,943.2917,774.6451,-90.0002,0.001,-179.9999,-1.5724,-1.5298,-2.9342,0.2295,-0.134,0.0176,0.2417,-0.0917,0.0,-0.0167,0.0,0.0
0.06,339.1071,943.2917,774.6451,-90.0002,0.001,-179.9999,-1.8285,-1.4258,-3.3917,0.2179,-0.1319,0.0224,0.0,0.0,0.0,0.0,0.0,0.0
0.072,339.1071,943.2917,774.6451,-90.0002,0.001,-179.9999,-1.7704,-1.5254,-3.097,0.2269,-0.1283,0.0226,0.0,0.0,0.0,0.0,0.0,0.0
0.084,339.1071,943.2917,774.6451,-90.0002,0.001,-179.9999,-1.8193,-1.4757,-3.222,0.2262,-0.1303,0.0237,0.0,0.0,0.0,0.0,0.0,0.0
0.096,339.107,943.2914,774.6473,-90.0002,0.0012,-179.9998,-1.7767,-1.7058,-2.9286,0.2426,-0.1312,0.0237,-0.0083,-0.025,0.1833,0.0,0.0167,-0.0083
0.108,339.1063,943.2895,774.6451,-90.0002,0.0007,180.0,-1.8804,-1.6177,-3.2243,0.2394,-0.1242,0.0266,-0.0583,-0.1583,-0.1833,0.0,-0.0417,-0.0167
0.12,339.1041,943.2925,774.6473,-90.0,0.0012,-179.9998,-1.6963,-1.4626,-2.8859,0.226,-0.1335,0.0192,-0.1833,0.25,0.1833,0.0167,0.0417,0.0167
0.132,339.107,943.2914,774.6473,-90.0002,0.0012,-179.9998,-1.8611,-1.4269,-2.9188,0.2283,-0.1358,0.0242,0.2417,-0.0917,0.0,-0.0167,0.0,0.0
0.144,339.1062,943.2892,774.6473,-90.0002,0.0008,-180.0,-1.8972,-1.4767,-3.0884,0.2173,-0.1395,0.022,-0.0667,-0.1833,0.0,0.0,-0.0333,0.0167
