time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,vx,vy,vz,vrotx,vroty,vrotz
0.0,339.1773,943.3046,775.4748,-85.9713,0.0009,-179.9999,0.2061,-0.2525,0.127,-0.0081,0.0002,0.0041,0.0,0.0,0.0,0.0,0.0,0.0
0.012,339.1779,943.3063,775.4767,-85.9713,0.001,-179.9999,0.0822,-0.1853,0.1754,-0.0116,0.0007,0.0057,0.05,0.1417,0.1583,0.0,0.0083,0.0
0.024,339.1779,943.3063,775.4767,-85.9713,0.001,-179.9999,0.0351,-0.2205,0.2133,-0.009,-0.002,0.0014,0.0,0.0,0.0,0.0,0.0,0.0
0.036,339.1773,943.3046,775.4748,-85.9713,0.0009,-179.9999,0.1589,-0.3083,0.1252,-0.0058,0.0009,0.0031,-0.05,-0.1417,-0.1583,0.0,-0.0083,0.0
0.048,339.1779,943.3063,775.4767,-85.9713,0.001,-179.9999,0.1658,-0.2014,0.0817,-0.0194,0.009,0.0016,0.05,0.1417,0.1583,0.0,0.0083,0.0
0.06,339.1779,943.3063,775.4767,-85.9713,0.001,-179.9999,0.1381,-0.1872,0.0873,-0.0042,-0.0007,0.0058,0.0,0.0,0.0,0.0,0.0,0.0
0.072,339.1779,943.3063,775.4767,-85.9713,0.001,-179.9999,-0.0426,-0.167,0.1724,-0.0112,0.0072,0.0038,0.0,0.0,0.0,0.0,0.0,0.0
0.084,339.1779,943.3063,775.4767,-85.9713,0.001,-179.9999,0.2059,-0.2291,0.2089,-0.0079,-0.0015,0.0007,0.0,0.0,0.0,0.0,0.0,0.0
0.096,339.1779,943.3063,775.4767,-85.9713,0.001,-179.9999,0.0097,-0.1923,0.219,-0.0101,0.0058,0.0071,0.0,0.0,0.0,0.0,0.0,0.0
0.108,339.1779,943.3063,775.4767,-85.9713,0.001,-179.9999,0.2057,-0.22,0.2917,-0.0063,0.0043,0.0005,0.0,0.0,0.0,0.0,0.0,0.0
0.12,339.1779,943.3063,775.4767,-85.9713,0.001,-179.9999,-0.0209,-0.2067,0.1293,-0.0132,0.0078,0.0039,0.0,0.0,0.0,0.0,0.0,0.0
0.132,339.1773,943.3046,775.4748,-85.9713,0.0009,-179.9999,0.0875,-0.2133,0.1275,-0.0045,0.0016,0.004,-0.05,-0.1417,-0.1583,0.0,-0.0083,0.0
0.144,339.1779,943.3063,775.4767,-85.9713,0.001,-179.9999,0.2505,-0.2144,0.1231,-0.0093,0.0072,0.0032,0.05,0.1417,0.1583,0.0,0.0083,0.0
0.156,339.1787,943.3085,775.4767,-85.9714,0.0014,-179.9997,0.1048,-0.1646,0.1274,-0.0099,0.0063,0.004,0.0667,0.1833,0.0,-0.0083,0.0333,-0.0167
0.168,339.1773,943.3046,775.4748,-85.9713,0.0009,-179.9999,0.1521,-0.2691,0.3415,-0.0128,0.0067,0.0044,-0.1167,-0.325,-0.1583,0.0083,-0.0417,0.0167
0.18,339.1773,943.3046,775.4748,-85.9713,0.0009,-179.9999,0.0822,-0.1858,0.0034,-0.0101,0.0016,0.0059,0.0,0.0,0.0,0.0,0.0,0.0
0.192,339.1781,943.3069,775.4748,-85.9714,0.0012,-179.9998,0.1529,-0.2279,0.1241,-0.0108,0.0008,0.0008,0.0667,0.1917,0.0,-0.0083,0.025,-0.0083
0.204,339.1781,943.3069,775.4748,-85.9714,0.0012,-179.9998,0.0352,-0.2911,0.0926,-0.0098,0.0031,0.0089,0.0,0.0,0.0,0.0,0.0,0.0
0.216,339.1773,943.3046,775.4748,-85.9713,0.0009,-179.9999,0.1614,-0.2549,0.2128,-0.0051,-0.0009,0.0039,-0.0667,-0.1917,0.0,0.0083,-0.025,0.0083
0.228,339.1781,943.3069,775.4748,-85.9714,0.0012,-179.9998,0.1686,-0.2587,-0.0063,-0.0157,0.0082,0.0008,0.0667,0.1917,0.0,-0.0083,0.025,-0.0083
0.24,339.1781,943.3069,775.4748,-85.9714,0.0012,-179.9998,0.1083,-0.2172,0.1754,-0.0091,0.0055,0.008,0.0,0.0,0.0,0.0,0.0,0.0
0.252,339.1781,943.3069,775.4748,-85.9714,0.0012,-179.9998,0.1548,-0.2222,0.2979,-0.0107,0.0024,0.003,0.0,0.0,0.0,0.0,0.0,0.0
0.264,339.1775,943.3052,775.4728,-85.9714,0.0011,-179.9999,0.0785,-0.2042,0.0412,-0.0104,0.0084,0.004,-0.05,-0.1417,-0.1667,0.0,-0.0083,0.0083
0.276,339.1775,943.3052,775.4728,-85.9714,0.0011,-179.9999,0.0807,-0.1746,0.1719,-0.01,0.0083,0.0056,0.0,0.0,0.0,0.0,0.0,0.0
0.288,339.1769,943.3036,775.4709,-85.9714,0.0009,-179.9999,0.1598,-0.25,0.3407,-0.0066,0.0016,0.0037,-0.05,-0.1333,-0.1583,0.0,-0.0167,0.0
0.3,339.1757,943.3003,775.467,-85.9714,0.0006,179.9999,0.1708,-0.2327,-0.171,-0.0153,0.0065,0.0053,-0.1,-0.275,-0.325,0.0,-0.025,-0.0167
0.312,339.1745,943.297,775.4631,-85.9714,0.0003,179.9998,0.1341,-0.1874,0.5102,-0.0088,-0.0017,0.0003,-0.1,-0.275,-0.325,0.0,-0.025,-0.0083
0.324,339.1734,943.294,775.4569,-85.9714,-0.0002,179.9996,0.0245,-0.1468,0.0057,-0.017,0.0097,0.0075,-0.0917,-0.25,-0.5167,0.0,-0.0417,-0.0167
0.336,339.1731,943.2929,775.453,-85.9714,-0.0002,179.9996,0.2306,-0.3193,0.2903,-0.0061,0.0017,-0.0004,-0.025,-0.0917,-0.325,0.0,0.0,0.0
0.348,339.1719,943.2896,775.4491,-85.9714,-0.0005,179.9994,0.0707,-0.1217,0.1349,-0.0213,0.0066,0.0066,-0.1,-0.275,-0.325,0.0,-0.025,-0.0167
0.36,339.1701,943.2847,775.4433,-85.9714,-0.001,179.9992,0.1775,-0.2741,0.0394,-0.0113,-0.0027,0.0009,-0.15,-0.4083,-0.4833,0.0,-0.0417,-0.0167
0.372,339.1691,943.282,775.4374,-85.9714,-0.0011,179.9992,0.057,-0.214,0.1753,-0.0105,0.0086,0.008,-0.0833,-0.225,-0.4917,0.0,-0.0083,0.0
0.384,339.1651,943.2797,775.4335,-85.9712,-0.0014,179.999,0.0623,-0.1374,0.344,-0.0066,0.005,0.0054,-0.3333,-0.1917,-0.325,0.0167,-0.025,-0.0167
0.396,339.1677,943.2779,775.4274,-85.9714,-0.0016,179.999,0.1747,-0.2948,-0.09,-0.0116,0.0024,0.0018,0.2167,-0.15,-0.5083,-0.0167,-0.0167,0.0
0.408,339.1675,943.2775,775.4215,-85.9714,-0.0013,179.9991,0.0696,-0.1709,0.0022,-0.0189,0.0117,0.0058,-0.0167,-0.0333,-0.4917,0.0,0.025,0.0083
0.42,339.168,943.2787,775.4176,-85.9714,-0.001,179.9992,0.1857,-0.2348,0.298,-0.005,0.0021,0.0046,0.0417,0.1,-0.325,0.0,0.025,0.0083
0.432,339.1677,943.2779,775.4114,-85.9715,-0.0011,179.9992,0.0789,-0.1828,0.0465,-0.0131,0.0033,0.0058,-0.025,-0.0667,-0.5167,-0.0083,-0.0083,0.0
0.444,339.1681,943.2792,775.4075,-85.9715,-0.0007,179.9994,0.1613,-0.2251,0.3354,-0.0034,0.0015,0.0004,0.0333,0.1083,-0.325,0.0,0.0333,0.0167
0.456,339.1687,943.2807,775.4013,-85.9715,-0.0005,179.9995,0.057,-0.1607,0.1734,-0.0098,0.0085,0.0064,0.05,0.125,-0.5167,0.0,0.0167,0.0083
