time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,vx,vy,vz,vrotx,vroty,vrotz
0.0,339.1542,943.2601,775.4915,-85.7322,0.0012,-179.9998,-1.6468,-1.9601,-0.5288,0.2814,-0.0387,0.0227,0.0,0.0,0.0,0.0,0.0,0.0
0.012,339.1536,943.2584,775.4895,-85.7322,0.001,-179.9999,-1.8965,-1.9262,-0.7741,0.2763,-0.0307,0.0295,-0.05,-0.1417,-0.1667,0.0,-0.0167,0.0083
0.024,339.1542,943.2601,775.4915,-85.7322,0.0012,-179.9998,-1.5863,-2.0732,-0.5698,0.2904,-0.0433,0.0261,0.05,0.1417,0.1667,0.0,0.0167,-0.0083
0.036,339.1542,943.2601,775.4915,-85.7322,0.0012,-179.9998,-1.7718,-1.889,-0.9934,0.2811,-0.033,0.0275,0.0,0.0,0.0,0.0,0.0,0.0
0.048,339.1542,943.2601,775.4915,-85.7322,0.0012,-179.9998,-1.6452,-2.0425,-0.7021,0.2849,-0.0377,0.0229,0.0,0.0,0.0,0.0,0.0,0.0
0.06,339.1536,943.2584,775.4895,-85.7322,0.001,-179.9999,-1.8004,-1.8865,-1.0336,0.2752,-0.0394,0.026,-0.05,-0.1417,-0.1667,0.0,-0.0167,0.0083
0.072,339.1542,943.2601,775.4915,-85.7322,0.0012,-179.9998,-1.7195,-2.0394,-0.6053,0.2777,-0.0461,0.0262,0.05,0.1417,0.1667,0.0,0.0167,-0.0083
0.084,339.1542,943.2601,775.4915,-85.7322,0.0012,-179.9998,-1.7795,-1.8672,-0.9945,0.2739,-0.0355,0.0243,0.0,0.0,0.0,0.0,0.0,0.0
0.096,339.1542,943.2601,775.4915,-85.7322,0.0012,-179.9998,-1.6669,-1.952,-0.6125,0.2846,-0.0418,0.0237,0.0,0.0,0.0,0.0,0.0,0.0
0.108,339.1542,943.2601,775.4915,-85.7322,0.0012,-179.9998,-1.8176,-1.9525,-0.8683,0.2833,-0.0374,0.0239,0.0,0.0,0.0,0.0,0.0,0.0
0.12,339.1542,943.2601,775.4915,-85.7322,0.0012,-179.9998,-1.6024,-2.0093,-0.9144,0.2808,-0.034,0.0249,0.0,0.0,0.0,0.0,0.0,0.0
0.132,339.1542,943.2601,775.4915,-85.7322,0.0012,-179.9998,-1.7067,-1.9224,-0.7331,0.291,-0.0413,0.0305,0.0,0.0,0.0,0.0,0.0,0.0
0.144,339.1542,943.2601,775.4915,-85.7322,0.0012,-179.9998,-1.8444,-1.8752,-0.8195,0.2798,-0.0331,0.028,0.0,0.0,0.0,0.0,0.0,0.0
0.156,339.1542,943.2601,775.4915,-85.7322,0.0012,-179.9998,-1.7479,-1.9415,-0.8219,0.2774,-0.0417,0.0249,0.0,0.0,0.0,0.0,0.0,0.0
0.168,339.1542,943.2601,775.4915,-85.7322,0.0012,-179.9998,-1.7072,-1.9311,-0.9523,0.273,-0.0346,0.025,0.0,0.0,0.0,0.0,0.0,0.0
0.18,339.1542,943.2601,775.4915,-85.7311,0.0012,-179.9998,-1.6704,-1.935,-0.6518,0.2788,-0.0485,0.0231,0.0,0.0,0.0,0.0917,0.0,0.0
0.192,339.1542,943.2601,775.4915,-85.7322,0.0012,-179.9998,-1.7733,-1.8432,-0.8675,0.2786,-0.0381,0.0233,0.0,0.0,0.0,-0.0917,0.0,0.0
0.204,339.1536,943.2584,775.4895,-85.7322,0.001,-179.9999,-1.6883,-1.9659,-0.658,0.2889,-0.0406,0.0229,-0.05,-0.1417,-0.1667,0.0,-0.0167,0.0083
0.216,339.1536,943.2584,775.4895,-85.7322,0.001,-179.9999,-1.7416,-1.9111,-0.6542,0.2837,-0.0401,0.0238,0.0,0.0,0.0,0.0,0.0,0.0
0.228,339.1536,943.2584,775.4895,-85.7322,0.001,-179.9999,-1.6464,-1.9639,-0.9148,0.2844,-0.0385,0.0233,0.0,0.0,0.0,0.0,0.0,0.0
0.24,339.1536,943.2584,775.4895,-85.7322,0.001,-179.9999,-1.715,-1.8985,-0.6576,0.2868,-0.0404,0.0221,0.0,0.0,0.0,0.0,0.0,0.0
0.252,339.1536,943.2584,775.4895,-85.7322,0.001,-179.9999,-1.6485,-1.9625,-0.7855,0.2814,-0.0386,0.0231,0.0,0.0,0.0,0.0,0.0,0.0
0.264,339.1536,943.2584,775.4895,-85.7322,0.001,-179.9999,-1.7514,-1.9151,-0.697,0.2747,-0.0417,0.0214,0.0,0.0,0.0,0.0,0.0,0.0
0.276,339.1528,943.2562,775.4895,-85.7322,0.0007,180.0,-1.7994,-1.9243,-0.9043,0.2733,-0.0469,0.0243,-0.0667,-0.1833,0.0,0.0,-0.025,-0.0083
0.288,339.1531,943.2571,775.4853,-85.7322,0.0007,180.0,-1.7154,-1.9292,-0.8271,0.2864,-0.042,0.0232,0.025,0.075,-0.35,0.0,0.0,0.0
0.3,339.1531,943.2571,775.4853,-85.7322,0.0007,180.0,-1.7704,-1.9538,-0.9536,0.2818,-0.0388,0.0241,0.0,0.0,0.0,0.0,0.0,0.0
