time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,vx,vy,vz,vrotx,vroty,vrotz
0.0,339.2539,943.5207,775.4706,-89.2249,0.0012,-179.9998,0.036,-0.0755,0.1488,0.0058,-0.0147,0.0034,0.0,0.0,0.0,0.0,0.0,0.0
0.012,339.2533,943.519,775.4686,-89.2249,0.001,-179.9999,-0.0963,0.0584,0.073,-0.0043,-0.0067,0.0084,-0.05,-0.1417,-0.1667,0.0,-0.0167,0.0083
0.024,339.2539,943.5207,775.4706,-89.2249,0.0012,-179.9998,-0.0191,0.0071,0.1904,0.0009,-0.0125,0.0009,0.05,0.1417,0.1667,0.0,0.0167,-0.0083
0.036,339.2539,943.5207,775.4706,-89.2249,0.0012,-179.9998,-0.1708,-0.0409,0.1113,-0.0039,-0.0065,0.0049,0.0,0.0,0.0,0.0,0.0,0.0
0.048,339.2539,943.5207,775.4706,-89.2249,0.0012,-179.9998,-0.064,-0.043,0.0654,0.0049,-0.0093,0.005,0.0,0.0,0.0,0.0,0.0,0.0
0.06,339.254,943.5209,775.4683,-89.2249,0.001,-179.9999,-0.1488,-0.03,0.0241,-0.0053,-0.0076,0.0034,0.0083,0.0167,-0.1917,0.0,-0.0167,0.0083
0.072,339.254,943.5209,775.4683,-89.2249,0.001,-179.9999,-0.0397,-0.0894,0.1871,0.0057,-0.0121,-0.0001,0.0,0.0,0.0,0.0,0.0,0.0
0.084,339.2539,943.5207,775.4706,-89.2249,0.0012,-179.9998,-0.1223,0.0128,0.0275,-0.0048,-0.0079,0.006,-0.0083,-0.0167,0.1917,0.0,0.0167,-0.0083
0.096,339.254,943.5209,775.4683,-89.2249,0.001,-179.9999,-0.0655,-0.048,0.1449,0.0048,-0.011,-0.0001,0.0083,0.0167,-0.1917,0.0,-0.0167,0.0083
0.108,339.2539,943.5207,775.4706,-89.2249,0.0012,-179.9998,0.0325,-0.0136,-0.0227,0.0051,-0.0088,0.0044,-0.0083,-0.0167,0.1917,0.0,0.0167,-0.0083
0.12,339.254,943.5209,775.4683,-89.2249,0.001,-179.9999,-0.1713,0.0414,-0.0214,-0.0014,-0.004,0.0026,0.0083,0.0167,-0.1917,0.0,-0.0167,0.0083
0.132,339.2539,943.5207,775.4706,-89.2249,0.0012,-179.9998,-0.0366,-0.035,0.3217,0.0049,-0.0148,0.0031,-0.0083,-0.0167,0.1917,0.0,0.0167,-0.0083
0.144,339.2539,943.5207,775.4706,-89.2249,0.0012,-179.9998,-0.1666,0.1338,0.0734,-0.0003,-0.0009,0.01,0.0,0.0,0.0,0.0,0.0,0.0
0.156,339.254,943.5209,775.4683,-89.2249,0.001,-179.9999,0.0576,-0.0347,0.2747,0.0032,-0.015,0.0008,0.0083,0.0167,-0.1917,0.0,-0.0167,0.0083
0.168,339.2534,943.5193,775.4663,-89.2249,0.0008,-180.0,-0.0502,-0.0543,0.1525,-0.0058,-0.0087,0.0041,-0.05,-0.1333,-0.1667,0.0,-0.0167,0.0083
0.18,339.2539,943.5207,775.4706,-89.2249,0.0012,-179.9998,-0.0177,-0.0179,0.1947,0.0006,-0.0125,0.0041,0.0417,0.1167,0.3583,0.0,0.0333,-0.0167
0.192,339.2533,943.519,775.4686,-89.2249,0.001,-179.9999,-0.0871,0.0463,0.3236,0.003,-0.0143,0.0032,-0.05,-0.1417,-0.1667,0.0,-0.0167,0.0083
0.204,339.2533,943.519,775.4686,-89.2249,0.001,-179.9999,-0.0971,-0.0774,-0.188,-0.0014,-0.0038,0.0077,0.0,0.0,0.0,0.0,0.0,0.0
0.216,339.2534,943.5193,775.4663,-89.2249,0.0008,-180.0,-0.093,-0.088,0.1928,-0.0001,-0.0115,0.0023,0.0083,0.025,-0.1917,0.0,-0.0167,0.0083
0.228,339.2534,943.5193,775.4663,-89.2249,0.0008,-180.0,-0.1144,0.0116,0.0683,0.0026,-0.0088,0.0059,0.0,0.0,0.0,0.0,0.0,0.0
0.24,339.2534,943.5193,775.4663,-89.2249,0.0008,-180.0,0.0081,-0.0594,0.2369,0.0016,-0.0136,0.0041,0.0,0.0,0.0,0.0,0.0,0.0
0.252,339.2534,943.5193,775.4663,-89.2249,0.0008,-180.0,-0.1983,-0.1113,0.0711,-0.0077,-0.0077,0.0057,0.0,0.0,0.0,0.0,0.0,0.0
0.264,339.2533,943.519,775.4686,-89.2249,0.001,-179.9999,-0.0167,-0.0233,0.1919,0.002,-0.015,0.0017,-0.0083,-0.025,0.1917,0.0,0.0167,-0.0083
0.276,339.2528,943.5176,775.4644,-89.2249,0.0007,180.0,-0.1706,0.0698,-0.0099,-0.0055,-0.0066,0.0093,-0.0417,-0.1167,-0.35,0.0,-0.025,-0.0083
0.288,339.2528,943.5176,775.4644,-89.2249,0.0007,180.0,-0.136,-0.0622,0.1905,0.0062,-0.011,0.0015,0.0,0.0,0.0,0.0,0.0,0.0
0.3,339.2522,943.516,775.4625,-89.2249,0.0005,179.9999,-0.0701,0.0434,0.0236,0.0,-0.0061,0.0051,-0.05,-0.1333,-0.1583,0.0,-0.0167,-0.0083
0.312,339.2522,943.516,775.4625,-89.2249,0.0005,179.9999,-0.0509,0.0016,0.1113,-0.0066,-0.008,0.005,0.0,0.0,0.0,0.0,0.0,0.0
0.324,339.251,943.5127,775.4586,-89.2249,0.0002,179.9998,-0.0378,0.0498,0.1497,0.0059,-0.0115,0.0034,-0.1,-0.275,-0.325,0.0,-0.025,-0.0083
0.336,339.2506,943.5117,775.4547,-89.2249,0.0002,179.9998,-0.0174,-0.0182,0.1042,0.0036,-0.0108,0.0017,-0.0333,-0.0833,-0.325,0.0,0.0,0.0
0.348,339.2489,943.5067,775.4488,-89.2249,-0.0003,179.9996,-0.0507,-0.0317,-0.019,-0.0054,-0.0104,0.0036,-0.1417,-0.4167,-0.4917,0.0,-0.0417,-0.0167
0.36,339.2477,943.5034,775.4449,-89.2249,-0.0006,179.9995,-0.113,-0.0197,0.3197,0.0037,-0.0114,0.0014,-0.1,-0.275,-0.325,0.0,-0.025,-0.0083
