time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,vx,vy,vz,vrotx,vroty,vrotz
0.0,339.1534,943.3252,774.6859,-90.7065,0.0006,180.0,-7.2982,-4.237,-8.5009,0.6234,-0.6761,0.0434,0.0,0.0,0.0,0.0,0.0,0.0
0.012,339.1534,943.3252,774.6859,-90.7065,0.0006,180.0,-7.473,-4.1805,-8.5766,0.6199,-0.665,0.0508,0.0,0.0,0.0,0.0,0.0,0.0
0.024,339.1534,943.3252,774.6859,-90.7065,0.0006,180.0,-7.3027,-4.1995,-8.5044,0.6223,-0.6686,0.0425,0.0,0.0,0.0,0.0,0.0,0.0
0.036,339.1528,943.3236,774.6839,-90.7065,0.0005,179.9999,-7.4769,-4.1513,-8.4096,0.6172,-0.6633,0.0472,-0.05,-0.1333,-0.1667,0.0,-0.0083,-0.0083
0.048,339.1528,943.3236,774.6839,-90.7065,0.0005,179.9999,-7.3015,-4.2869,-8.2839,0.6182,-0.6753,0.0447,0.0,0.0,0.0,0.0,0.0,0.0
0.06,339.1534,943.3252,774.6859,-90.7065,0.0006,180.0,-7.4275,-4.1926,-8.4511,0.6151,-0.6731,0.0458,0.05,0.1333,0.1667,0.0,0.0083,0.0083
0.072,339.1526,943.323,774.6859,-90.7065,0.0003,179.9998,-7.3214,-4.24,-8.4592,0.6263,-0.6691,0.0449,-0.0667,-0.1833,0.0,0.0,-0.025,-0.0167
0.084,339.1534,943.3252,774.6859,-90.7065,0.0006,180.0,-7.3833,-4.2339,-8.2862,0.6339,-0.6743,0.0455,0.0667,0.1833,0.0,0.0,0.025,0.0167
0.096,339.1534,943.3252,774.6859,-90.7065,0.0006,180.0,-7.376,-4.2171,-8.7533,0.6208,-0.6702,0.047,0.0,0.0,0.0,0.0,0.0,0.0
0.108,339.1534,943.3252,774.6859,-90.7065,0.0006,180.0,-7.32,-4.3073,-8.371,0.624,-0.6783,0.044,0.0,0.0,0.0,0.0,0.0,0.0
0.12,339.1534,943.3252,774.6859,-90.7065,0.0006,180.0,-7.5227,-4.2241,-8.4487,0.6164,-0.6744,0.0465,0.0,0.0,0.0,0.0,0.0,0.0
0.132,339.1526,943.323,774.6859,-90.7065,0.0003,179.9998,-7.281,-4.2125,-8.5485,0.6206,-0.668,0.0418,-0.0667,-0.1833,0.0,0.0,-0.025,-0.0167
0.144,339.1526,943.323,774.6859,-90.7065,0.0003,179.9998,-7.4272,-4.1096,-8.9153,0.6163,-0.6714,0.0515,0.0,0.0,0.0,0.0,0.0,0.0
0.156,339.1534,943.3252,774.6859,-90.7065,0.0006,180.0,-7.3528,-4.1802,-8.4114,0.6167,-0.6748,0.0442,0.0667,0.1833,0.0,0.0,0.025,0.0167
0.168,339.1533,943.3249,774.6882,-90.7065,0.0008,-180.0,-7.355,-4.2773,-8.5393,0.617,-0.667,0.0474,-0.0083,-0.025,0.1917,0.0,0.0167,-0.0
0.18,339.1526,943.323,774.6859,-90.7065,0.0003,179.9998,-7.4143,-4.2356,-8.2853,0.6294,-0.6664,0.047,-0.0583,-0.1583,-0.1917,0.0,-0.0417,-0.0167
0.192,339.1526,943.323,774.6859,-90.7065,0.0003,179.9998,-7.3336,-4.1477,-8.7119,0.617,-0.6616,0.0478,0.0,0.0,0.0,0.0,0.0,0.0
0.204,339.152,943.3213,774.6839,-90.7065,0.0001,179.9998,-7.3536,-4.1756,-8.671,0.6197,-0.6697,0.0445,-0.05,-0.1417,-0.1667,0.0,-0.0167,0.0
