time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,vx,vy,vz,vrotx,vroty,vrotz
0.0,339.0435,943.3254,775.4455,-92.2758,0.0011,-179.9999,-0.1533,-0.2499,0.4577,-0.0118,0.0342,0.0938,0.0,0.0,0.0,0.0,0.0,0.0
0.012,339.0435,943.3254,775.4455,-92.2758,0.0011,-179.9999,-0.0509,-0.3364,0.667,-0.0086,0.0289,0.0911,0.0,0.0,0.0,0.0,0.0,0.0
0.024,339.0401,943.3248,775.4435,-92.2756,0.0009,-179.9999,-0.0864,-0.2601,0.2028,-0.0165,0.036,0.0959,-0.2833,-0.05,-0.1667,0.0167,-0.0167,0.0
0.036,339.0435,943.3254,775.4455,-92.2758,0.0011,-179.9999,-0.0029,-0.3438,0.6134,-0.0058,0.0267,0.0837,0.2833,0.05,0.1667,-0.0167,0.0167,0.0
0.048,339.0435,943.3254,775.4455,-92.2758,0.0011,-179.9999,-0.1254,-0.3514,0.6757,-0.0131,0.0272,0.0952,0.0,0.0,0.0,0.0,0.0,0.0
0.06,339.0429,943.3237,775.4435,-92.2758,0.0009,-179.9999,0.0374,-0.4406,0.324,-0.0144,0.0323,0.0923,-0.05,-0.1417,-0.1667,0.0,-0.0167,0.0
0.072,339.0435,943.3254,775.4455,-92.2758,0.0011,-179.9999,-0.075,-0.3897,0.4516,-0.0077,0.0234,0.0889,0.05,0.1417,0.1667,0.0,0.0167,0.0
0.084,339.0429,943.3237,775.4435,-92.2758,0.0009,-179.9999,-0.1274,-0.321,0.3773,-0.0127,0.0306,0.0973,-0.05,-0.1417,-0.1667,0.0,-0.0167,0.0
0.096,339.0429,943.3237,775.4435,-92.2758,0.0009,-179.9999,-0.0261,-0.3058,0.3653,-0.0067,0.0244,0.0892,0.0,0.0,0.0,0.0,0.0,0.0
0.108,339.0429,943.3237,775.4435,-92.2758,0.0009,-179.9999,-0.2467,-0.2254,0.5085,-0.0114,0.0319,0.0979,0.0,0.0,0.0,0.0,0.0,0.0
0.12,339.0435,943.3254,775.4455,-92.2758,0.0011,-179.9999,-0.0267,-0.4064,0.6254,-0.0095,0.027,0.0919,0.05,0.1417,0.1667,0.0,0.0167,0.0
0.132,339.0435,943.3254,775.4455,-92.2758,0.0011,-179.9999,-0.079,-0.2382,0.2441,-0.0103,0.0325,0.0951,0.0,0.0,0.0,0.0,0.0,0.0
0.144,339.0429,943.3237,775.4435,-92.2758,0.0009,-179.9999,-0.0741,-0.3487,0.5445,-0.0087,0.0292,0.0954,-0.05,-0.1417,-0.1667,0.0,-0.0167,0.0
0.156,339.0435,943.3254,775.4455,-92.2758,0.0011,-179.9999,-0.036,-0.2881,0.199,-0.0139,0.0354,0.0942,0.05,0.1417,0.1667,0.0,0.0167,0.0
0.168,339.0429,943.3237,775.4435,-92.2758,0.0009,-179.9999,-0.1398,-0.3556,0.1568,-0.0205,0.03,0.091,-0.05,-0.1417,-0.1667,0.0,-0.0167,0.0
0.18,339.0435,943.3254,775.4455,-92.2758,0.0011,-179.9999,-0.1254,-0.3519,0.5038,-0.0116,0.0281,0.0954,0.05,0.1417,0.1667,0.0,0.0167,0.0
0.192,339.0435,943.3254,775.4455,-92.2758,0.0011,-179.9999,-0.0743,-0.2055,0.588,-0.0085,0.0331,0.0963,0.0,0.0,0.0,0.0,0.0,0.0
