time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,vx,vy,vz,vrotx,vroty,vrotz
0.0,339.0836,943.2242,774.315,-90.2125,0.0008,-180.0,-2.306,-2.6195,-2.4153,0.3982,-0.133,0.032,0.0,0.0,0.0,0.0,0.0,0.0
0.012,339.0835,943.2239,774.3173,-90.2125,0.001,-179.9999,-2.3627,-2.4754,-2.6185,0.3897,-0.1284,0.0383,-0.0083,-0.025,0.1917,0.0,0.0167,-0.0083
0.024,339.0836,943.2242,774.315,-90.2125,0.0008,-180.0,-2.1837,-2.5356,-2.761,0.3797,-0.1304,0.0278,0.0083,0.025,-0.1917,0.0,-0.0167,0.0083
0.036,339.0836,943.2242,774.315,-90.2125,0.0008,-180.0,-2.3055,-2.43,-2.8774,0.3782,-0.1241,0.0362,0.0,0.0,0.0,0.0,0.0,0.0
0.048,339.0807,943.2252,774.315,-90.2123,0.0008,-180.0,-2.1553,-2.6169,-3.1916,0.3892,-0.1195,0.0323,-0.2417,0.0833,0.0,0.0167,0.0,0.0
0.06,339.0836,943.2242,774.315,-90.2125,0.0008,-180.0,-2.4131,-2.4147,-2.9608,0.3682,-0.1287,0.0331,0.2417,-0.0833,0.0,-0.0167,0.0,0.0
0.072,339.0836,943.2242,774.315,-90.2125,0.0008,-180.0,-2.2908,-2.4252,-2.491,0.3648,-0.132,0.0317,0.0,0.0,0.0,0.0,0.0,0.0
0.084,339.0835,943.2239,774.3173,-90.2125,0.001,-179.9999,-2.3074,-2.5269,-2.9239,0.38,-0.1155,0.0368,-0.0083,-0.025,0.1917,0.0,0.0167,-0.0083
0.096,339.0836,943.2242,774.315,-90.2125,0.0008,-180.0,-2.0744,-2.5478,-3.0606,0.3734,-0.1132,0.033,0.0083,0.025,-0.1917,0.0,-0.0167,0.0083
0.108,339.083,943.2225,774.313,-90.2125,0.0006,180.0,-2.1938,-2.4758,-2.8049,0.3759,-0.1094,0.0317,-0.05,-0.1417,-0.1667,0.0,-0.0167,-0.0
0.12,339.0836,943.2242,774.315,-90.2125,0.0008,-180.0,-2.0363,-2.6423,-2.9732,0.3842,-0.1151,0.0369,0.05,0.1417,0.1667,0.0,0.0167,-0.0
0.132,339.0836,943.2242,774.315,-90.2125,0.0008,-180.0,-1.9195,-2.5848,-2.733,0.386,-0.104,0.0291,0.0,0.0,0.0,0.0,0.0,0.0
0.144,339.0836,943.2242,774.315,-90.2125,0.0008,-180.0,-2.2268,-2.3653,-3.394,0.367,-0.115,0.0354,0.0,0.0,0.0,0.0,0.0,0.0
0.156,339.0836,943.2242,774.315,-90.2125,0.0008,-180.0,-2.2104,-2.4835,-2.574,0.3641,-0.1613,0.0266,0.0,0.0,0.0,0.0,0.0,0.0
0.168,339.0836,943.2242,774.315,-90.2125,0.0008,-180.0,-2.2646,-2.3808,-2.1913,0.3682,-0.1157,0.0369,0.0,0.0,0.0,0.0,0.0,0.0
0.18,339.0836,943.2242,774.315,-90.2125,0.0008,-180.0,-2.3163,-2.6105,-2.5798,0.4089,-0.137,0.0381,0.0,0.0,0.0,0.0,0.0,0.0
0.192,339.0865,943.2232,774.315,-90.2126,0.0008,-180.0,-2.3445,-2.2397,-3.049,0.3448,-0.1207,0.0285,0.2417,-0.0833,0.0,-0.0083,0.0,0.0
0.204,339.0836,943.2242,774.315,-90.2125,0.0008,-180.0,-2.2978,-2.8473,-3.3086,0.4047,-0.1526,0.0342,-0.2417,0.0833,0.0,0.0083,0.0,0.0
0.216,339.0835,943.2239,774.3173,-90.2125,0.001,-179.9999,-2.4661,-2.5474,-2.6205,0.3874,-0.1195,0.0379,-0.0083,-0.025,0.1917,0.0,0.0167,-0.0083
0.228,339.083,943.2225,774.313,-90.2125,0.0006,180.0,-2.4145,-2.3768,-2.2637,0.3507,-0.1626,0.0279,-0.0417,-0.1167,-0.3583,0.0,-0.0333,-0.0083
0.24,339.083,943.2225,774.313,-90.2125,0.0006,180.0,-2.6305,-2.2734,-2.4231,0.3495,-0.172,0.0307,0.0,0.0,0.0,0.0,0.0,0.0
0.252,339.083,943.2225,774.313,-90.2125,0.0006,180.0,-2.1997,-2.6431,-2.83,0.3756,-0.1586,0.0316,0.0,0.0,0.0,0.0,0.0,0.0
0.264,339.083,943.2225,774.313,-90.2125,0.0006,180.0,-2.3178,-2.5901,-2.9207,0.3883,-0.1303,0.037,0.0,0.0,0.0,0.0,0.0,0.0
0.276,339.083,943.2225,774.313,-90.2125,0.0006,180.0,-2.3828,-2.4452,-3.1306,0.3679,-0.1558,0.0272,0.0,0.0,0.0,0.0,0.0,0.0
0.288,339.083,943.2225,774.313,-90.2135,0.0006,180.0,-2.3981,-2.4029,-3.4763,0.3639,-0.1263,0.0322,0.0,0.0,0.0,-0.0833,0.0,0.0
0.3,339.0825,943.2209,774.3111,-90.2125,0.0005,179.9999,-2.4744,-2.5944,-2.8379,0.3765,-0.1453,0.0263,-0.0417,-0.1333,-0.1583,0.0833,-0.0083,-0.0083
0.312,339.0824,943.2209,774.3111,-90.2135,0.0005,179.9999,-2.6775,-2.588,-2.1746,0.3784,-0.1557,0.0361,-0.0083,0.0,0.0,-0.0833,0.0,0.0
0.324,339.0825,943.2209,774.3111,-90.2125,0.0005,179.9999,-2.7056,-2.4582,-2.4759,0.3756,-0.1647,0.0311,0.0083,0.0,0.0,0.0833,0.0,0.0
0.336,339.0819,943.2192,774.3091,-90.2125,0.0003,179.9998,-2.2392,-2.3252,-3.0947,0.3481,-0.141,0.0231,-0.05,-0.1417,-0.1667,0.0,-0.0167,-0.0083
0.348,339.0822,943.2201,774.3049,-90.2125,0.0003,179.9999,-2.6029,-2.4551,-3.5091,0.3458,-0.1558,0.0252,0.025,0.075,-0.35,0.0,0.0,0.0083
0.36,339.0811,943.2171,774.2987,-90.2125,-0.0002,179.9997,-2.7652,-2.7271,-2.7315,0.4084,-0.1785,0.0361,-0.0917,-0.25,-0.5167,0.0,-0.0417,-0.0167
0.372,339.0805,943.2155,774.2968,-90.2125,-0.0003,179.9996,-2.5854,-2.5457,-2.8643,0.3745,-0.176,0.0277,-0.05,-0.1333,-0.1583,0.0,-0.0083,-0.0083
0.384,339.0795,943.2127,774.2884,-90.2125,-0.001,179.9994,-2.6185,-2.6008,-3.0345,0.3859,-0.1921,0.0264,-0.0833,-0.2333,-0.7,0.0,-0.0583,-0.0167
0.396,339.0793,943.2123,774.2799,-90.2125,-0.0013,179.9993,-3.2296,-2.8615,-4.134,0.4288,-0.2125,0.0348,-0.0167,-0.0333,-0.7083,0.0,-0.025,-0.0083
0.408,339.0784,943.2095,774.2715,-90.2125,-0.002,179.999,-3.0659,-3.1775,-4.2387,0.453,-0.2046,0.0319,-0.075,-0.2333,-0.7,0.0,-0.0583,-0.025
0.42,339.0782,943.2091,774.263,-90.2125,-0.0023,179.9989,-3.5753,-3.1627,-5.0713,0.4693,-0.2368,0.0383,-0.0167,-0.0333,-0.7083,0.0,-0.025,-0.0083
0.432,339.078,943.2086,774.2546,-90.2125,-0.0026,179.9988,-3.5961,-3.3213,-4.783,0.4942,-0.2497,0.0319,-0.0167,-0.0417,-0.7,0.0,-0.025,-0.0083
0.444,339.0822,943.211,774.248,-90.2127,-0.0023,179.9989,-3.9282,-3.5231,-5.45,0.5418,-0.2694,0.0474,0.35,0.2,-0.55,-0.0167,0.025,0.0083
0.456,339.0837,943.2153,774.2373,-90.2128,-0.0021,179.999,-3.7946,-3.9308,-5.6009,0.5873,-0.2499,0.0499,0.125,0.3583,-0.8917,-0.0083,0.0167,0.0083
0.468,339.0843,943.2171,774.2288,-90.2128,-0.002,179.999,-4.3356,-4.1614,-5.9342,0.6213,-0.2814,0.0501,0.05,0.15,-0.7083,0.0,0.0083,0.0
0.48,339.0858,943.2211,774.2204,-90.2128,-0.0016,179.9992,-3.9228,-4.1051,-5.6486,0.6257,-0.2621,0.0505,0.125,0.3333,-0.7,0.0,0.0333,0.0167
0.492,339.0869,943.2242,774.2162,-90.2128,-0.0012,179.9993,-4.2224,-4.1574,-6.0735,0.6241,-0.2525,0.0523,0.0917,0.2583,-0.35,0.0,0.0333,0.0083
0.504,339.089,943.2299,774.2096,-90.2129,-0.0006,179.9995,-4.1866,-4.5634,-6.5524,0.6834,-0.2577,0.0606,0.175,0.475,-0.55,-0.0083,0.05,0.0167
0.516,339.0896,943.2317,774.2012,-90.2129,-0.0005,179.9995,-4.412,-4.5747,-6.9302,0.6763,-0.2676,0.0595,0.05,0.15,-0.7,0.0,0.0083,0.0
0.528,339.0916,943.2374,774.1947,-90.2129,0.0001,179.9998,-4.273,-4.6151,-6.9372,0.6935,-0.269,0.0595,0.1667,0.475,-0.5417,0.0,0.05,0.025
0.54,339.0957,943.2395,774.1904,-90.2131,0.0005,179.9999,-4.3745,-4.7046,-7.4453,0.6912,-0.2701,0.0626,0.3417,0.175,-0.3583,-0.0167,0.0333,0.0083
0.552,339.0955,943.239,774.182,-90.2132,0.0002,179.9998,-4.3773,-4.7557,-7.375,0.6949,-0.2641,0.054,-0.0167,-0.0417,-0.7,-0.0083,-0.025,-0.0083
0.564,339.0966,943.2421,774.1778,-90.2132,0.0006,179.9999,-4.6576,-4.845,-7.6563,0.7184,-0.2923,0.0619,0.0917,0.2583,-0.35,0.0,0.0333,0.0083
0.576,339.099,943.2489,774.1751,-90.2132,0.0011,-179.9999,-4.6845,-4.728,-7.7469,0.7183,-0.293,0.0572,0.2,0.5667,-0.225,0.0,0.0417,0.0167
0.588,339.0983,943.2467,774.1647,-90.2132,0.0007,180.0,-4.6044,-4.8857,-7.7424,0.7208,-0.3012,0.0605,-0.0583,-0.1833,-0.8667,0.0,-0.0333,-0.0083
0.6,339.0986,943.2476,774.1605,-90.2132,0.0007,180.0,-4.9452,-4.9711,-8.2479,0.7205,-0.312,0.0603,0.025,0.075,-0.35,0.0,0.0,0.0
0.612,339.0998,943.251,774.154,-90.2133,0.0009,-179.9999,-4.8186,-5.1187,-8.0863,0.7707,-0.3139,0.0655,0.1,0.2833,-0.5417,-0.0083,0.0167,0.0083
0.624,339.1038,943.2531,774.1498,-90.2135,0.0013,-179.9998,-4.931,-5.2448,-8.6053,0.7858,-0.3096,0.0659,0.3333,0.175,-0.35,-0.0167,0.0333,-0.0083
0.636,339.1043,943.2543,774.1433,-90.2135,0.0012,-179.9998,-4.8055,-5.3489,-8.4773,0.7859,-0.3185,0.065,0.0417,0.1,-0.5417,0.0,-0.0083,0.0
0.648,339.1047,943.2555,774.1368,-90.2135,0.0011,-179.9999,-5.3347,-5.3133,-8.928,0.7859,-0.3382,0.0681,0.0333,0.1,-0.5417,0.0,-0.0083,0.0083
0.66,339.1064,943.2603,774.1345,-90.2135,0.0016,-179.9997,-4.995,-5.4347,-8.6942,0.815,-0.3243,0.0658,0.1417,0.4,-0.1917,0.0,0.0417,-0.0167
0.672,339.1097,943.2604,774.128,-90.2137,0.0015,-179.9997,-5.366,-5.438,-8.8044,0.8247,-0.34,0.0726,0.275,0.0083,-0.5417,-0.0167,-0.0083,0.0
0.684,339.1101,943.2616,774.1215,-90.2137,0.0013,-179.9998,-5.1775,-5.5206,-8.8126,0.8204,-0.3421,0.0677,0.0333,0.1,-0.5417,0.0,-0.0167,0.0083
0.696,339.1134,943.2614,774.1172,-90.2128,0.0014,-179.9998,-5.5717,-5.6268,-9.0563,0.8333,-0.3598,0.0712,0.275,-0.0167,-0.3583,0.075,0.0083,0.0
0.708,339.1138,943.2626,774.1107,-90.2139,0.0012,-179.9998,-5.421,-5.5506,-8.6728,0.8368,-0.3517,0.074,0.0333,0.1,-0.5417,-0.0917,-0.0167,0.0
0.72,339.1177,943.2644,774.1062,-90.213,0.0013,-179.9998,-5.6449,-5.8523,-9.3188,0.859,-0.3609,0.0728,0.325,0.15,-0.375,0.075,0.0083,0.0
