time,x,y,z,rotx,roty,rotz,fx,fy,fz,mx,my,mz,vx,vy,vz,vrotx,vroty,vrotz
0.0,339.0945,943.3538,775.3527,-91.3158,0.0011,-179.9999,0.2611,-0.2328,0.3878,-0.0113,0.0048,-0.0015,0.0,0.0,0.0,0.0,0.0,0.0
0.012,339.0946,943.3541,775.3504,-91.3158,0.0009,-180.0,0.1563,-0.1867,0.0563,-0.0164,0.0177,0.0079,0.0083,0.025,-0.1917,0.0,-0.0167,0.0083
0.024,339.0938,943.3519,775.3504,-91.3158,0.0005,179.9999,0.1608,-0.3178,0.213,-0.0106,0.007,-0.004,-0.0667,-0.1833,0.0,0.0,-0.0333,-0.0083
0.036,339.0945,943.3538,775.3527,-91.3158,0.0011,-179.9999,0.1883,-0.2139,0.1771,-0.0094,0.0098,0.002,0.0583,0.1583,0.1917,0.0,0.05,0.0167
0.048,339.0945,943.3538,775.3527,-91.3158,0.0011,-179.9999,0.2114,-0.3589,0.3476,-0.0112,0.0114,0.0024,0.0,0.0,0.0,0.0,0.0,0.0
0.06,339.0931,943.3499,775.3508,-91.3158,0.0005,179.9999,0.2041,-0.2832,0.2197,-0.0177,0.0089,0.0002,-0.1167,-0.325,-0.1583,0.0,-0.05,-0.0167
0.072,339.0945,943.3538,775.3527,-91.3158,0.0011,-179.9999,0.3124,-0.2507,0.2169,-0.007,0.0101,0.0019,0.1167,0.325,0.1583,0.0,0.05,0.0167
0.084,339.0945,943.3538,775.3527,-91.3158,0.0011,-179.9999,0.0852,-0.2673,0.4352,-0.0159,0.011,0.0006,0.0,0.0,0.0,0.0,0.0,0.0
0.096,339.0938,943.3519,775.3504,-91.3158,0.0005,179.9999,0.2101,-0.1457,0.2676,-0.0145,0.0077,0.0037,-0.0583,-0.1583,-0.1917,0.0,-0.05,-0.0167
0.108,339.0928,943.3493,775.3527,-91.3158,0.0003,179.9999,0.132,-0.2423,0.2676,-0.0186,0.0088,0.0027,-0.0833,-0.2167,0.1917,0.0,-0.0167,0.0
0.12,339.0937,943.3516,775.3527,-91.3158,0.0007,180.0,0.217,-0.1776,0.4358,-0.009,0.0043,0.0018,0.075,0.1917,0.0,0.0,0.0333,0.0083
0.132,339.0937,943.3516,775.3527,-91.3158,0.0007,180.0,0.1623,-0.1926,0.2671,-0.0121,0.0134,0.0051,0.0,0.0,0.0,0.0,0.0,0.0
0.144,339.0937,943.3516,775.3527,-91.3158,0.0007,180.0,0.2098,-0.3643,0.2552,-0.0098,0.0106,-0.0025,0.0,0.0,0.0,0.0,0.0,0.0
0.156,339.0945,943.3538,775.3527,-91.3158,0.0011,-179.9999,0.0606,-0.1206,0.269,-0.017,0.0094,0.0027,0.0667,0.1833,0.0,0.0,0.0333,0.0083
0.168,339.0937,943.3516,775.3527,-91.3158,0.0007,180.0,0.2626,-0.3086,0.3457,-0.0092,0.0082,0.0009,-0.0667,-0.1833,0.0,0.0,-0.0333,-0.0083
0.18,339.0937,943.3516,775.3527,-91.3158,0.0007,180.0,0.0461,-0.1952,0.0078,-0.0253,0.0173,0.0004,0.0,0.0,0.0,0.0,0.0,0.0
0.192,339.0939,943.3522,775.3508,-91.3158,0.0009,-180.0,0.169,-0.2711,0.2582,-0.0056,0.0009,-0.0031,0.0167,0.05,-0.1583,0.0,0.0167,-0.0
0.204,339.0931,943.3499,775.3508,-91.3158,0.0005,179.9999,0.1067,-0.1679,-0.0318,-0.0161,0.0149,0.0047,-0.0667,-0.1917,0.0,0.0,-0.0333,-0.0083
0.216,339.0939,943.3522,775.3508,-91.3158,0.0009,-180.0,0.1647,-0.3135,0.2576,-0.0076,0.0086,-0.0016,0.0667,0.1917,0.0,0.0,0.0333,0.0083
0.228,339.0931,943.3499,775.3508,-91.3158,0.0005,179.9999,0.0084,-0.202,0.2264,-0.0194,0.011,0.0026,-0.0667,-0.1917,0.0,0.0,-0.0333,-0.0083
